region;Skattesats till landsting 2000;Skattesats till landsting 2001;Skattesats till landsting 2002;Skattesats till landsting 2003;Skattesats till landsting 2004;Skattesats till landsting 2005;Skattesats till landsting 2006;Skattesats till landsting 2007;Skattesats till landsting 2008;Skattesats till landsting 2009;Skattesats till landsting 2010;Skattesats till landsting 2011;Skattesats till landsting 2012;Skattesats till landsting 2013;Skattesats till landsting 2014;Skattesats till landsting 2015;Skattesats till landsting 2016;Skattesats till landsting 2017;Skattesats till landsting 2018
1276 Klippan;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1277 Åstorp;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1278 Båstad;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1280 Malmö;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1281 Lund;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1282 Landskrona;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1283 Helsingborg;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1284 Höganäs;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1285 Eslöv;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1286 Ystad;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1287 Trelleborg;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1290 Kristianstad;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1291 Simrishamn;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1292 Ängelholm;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1293 Hässleholm;9,39;9,39;9,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,39;10,69;10,69;10,69;10,69;10,69
1315 Hylte;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;10,42;10,42;10,42;10,82;10,82;10,82;10,82
1380 Halmstad;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;10,42;10,42;10,42;10,82;10,82;10,82;10,82
1381 Laholm;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;10,42;10,42;10,42;10,82;10,82;10,82;10,82
1382 Falkenberg;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;10,42;10,42;10,42;10,82;10,82;10,82;10,82
1383 Varberg;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;10,42;10,42;10,42;10,82;10,82;10,82;10,82
1384 Kungsbacka;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;9,72;10,42;10,42;10,42;10,82;10,82;10,82;10,82
1401 Härryda;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1402 Partille;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1407 Öckerö;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1415 Stenungsund;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1419 Tjörn;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1421 Orust;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1427 Sotenäs;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1430 Munkedal;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
