index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
7,0,,Winston County,Alabama,,,,,30680.0,Class B,
50,1,"The community is Rabbittown, it is halfway between Haleyville and Double Springs near the Bankhead National Forest",Winston County,Alabama,,,,,43120.0,Class A,
818,2,During Deer season and in a tree climber.,Wilcox County,Alabama,Report 17035: Wood knocks heard by hunter outside Camden,31.99,-87.29,2007-08-06,17035.0,Class B,dj9vvxt778
819,3,"Washington County, on Alabama Highway 56, between Chatom and Wagarville. At the top of the hill about two miles west of Wagarville.",Washington County,Alabama,"Report 961: Motorist confronted by hairy, man-like creature on roadside",31.4515,-88.08305,1997-01-06,961.0,Class A,dj96gtefk0
820,4,Wooden area. Just past the intersection of Trotter Rd. and Nichols Rd. On the right about 40 yards past intersection going north away from Jasper.,Walker County,Alabama,Report 43217: Memory of 3 hairy fingers sliding under the front door outside Nauvoo,33.89236,-87.3775,1988-07-15,43217.0,Class B,dn1bg9vtk9
821,5,Go south on I59 towards Tuscaloosa to exit 100.  Take a right onto HWY216. go about 10-15 miles and hang a right at the sign to Rocky Branch.,Tuscaloosa County,Alabama,"Report 245: Two outdoorsman fishing, loud vocalizations, footsteps heard",33.28375,-87.32655,1999-07-15,245.0,Class A,djcvkg4ezu
822,6,We were right behind a large reservoir that held water for Russell Mills,Tallapoosa County,Alabama,Report 44487: Memory told of a close dalylight observation outside Alexander City,32.91874,-85.9793,2014-03-30,44487.0,Class A,djfg72xv91
823,7,"all i know is that i was driving down hwy 21 when i came upon a sign that said 20 mph a sharp turn was ahead and i had my daughter in the front seat {she is grown} and my grandaughter in the back seat,so i went very careful around the turn.",Talladega County,Alabama,Report 25238: Woman recalls encountering a creature while driving through Talladega National Forest,33.36305,-86.17121999999998,1999-11-23,25238.0,Class A,djftz1s1c5
824,8,"Around Moody, Alabama.",St. Clair County,Alabama,Report 8679: Adult recalls childhood sighting at dusk near Moody,33.6205,-86.4664,2004-09-30,8679.0,Class A,djfx22mjdg
825,9,"Shelby Co. Road 43 north, off State Hwy 280. After approximately 1/4 mile, there is a man made lake on right, with houses on left and up behind lake.",Shelby County,Alabama,Report 8171: Nighttime Sighting on County Road,33.3674,-86.64066,2004-05-09,8171.0,Class A,djfmu6q5nq
826,10,"1981--Bank of the Chattahoochee River 1982--Highway 431N.  Roughly, the sighting occurred at Michael Tigner Dr., about 3-4 miles North of Seale, AL.  Shouldn't be too hard to find, since it was the only ""yield"" or ""slippery when wet"" sign on the right-hand side (heading North)",Russell County,Alabama,"Report 179: Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving",32.31435,-85.16235,1981-09-15,179.0,Class A,djery4dstr
827,11,"The place of the sighting is in North/Northwestern Pike County at a place known by the name ""Lookout Mountain"". It is not a mountain at all, just a big hill. It is supposed to be the highest point in Pike County, at approx. 100 feet high. Go north on Hwy. 231 out of Troy. Turn left (west/northwest) onto Co. Rd. 17. The ""mountain"" is a few miles back. Somewhere down Co. Rd. 17 the pavement ends and it becomes a dirt road (if that dirt section has not since been paved) from what I recall. There are other dirt roads going off Co. Rd. 17. Lookout Mountain is just off one of those dirt roads on the left. I may have actually made a right turn somewhere off Co. Rd. 17 to get to Lookout Mountain. I don't really remember. Besides it was only the second, and last time I had gone out to this place.",Pike County,Alabama,Report 15473: Possible stalking on mountain outside Troy,31.85,-85.925,2007-08-26,15473.0,Class B,djdvhwp7dq
828,12,"In and around Aliceville, AL., in Pickens County. Both my sightings were near Lubbub Creek, which runs into Dead River and from there to the Tombigbee River.",Pickens County,Alabama,"Report 832: Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described",33.13195,-88.17885,1980-11-15,832.0,Class A,djck3rqpeg
829,13,"Off of Hiwaay 231South, out of Huntsville towards Arab. Take a right on Apple Grove road to Water Tower Road, Left onto Darden Drive that winds around to the property on the edge of the bluff,",Morgan County,Alabama,Report 3028: Daylight sighting by lady while her husband was clearing trees,34.4881,-86.6333,2000-06-01,3028.0,Class A,dn4khw7e9z
830,14,"Uriah, AL  just off Hwy. 59. Please do not post the exact address location.",Monroe County,Alabama,,,,,40542.0,Class B,
831,15,"traveling north from the Grand Bay exit of I-10 towards Dawes Road, just over the small bridge",Mobile County,Alabama,Report 17168: Nighttime sighting by motorists outside Grand Bay,30.47612,-88.34223,2007-02-04,17168.0,Class B,dj3jmsp0kb
832,16,south of tennesse river in morgan county valhermosa springs area cabbage patch road near creek area,Morgan County,Alabama,Report 435: Daylight sighting by husband and wife near home near Valhermosa Springs,34.5422,-86.66465,2000-10-10,435.0,Class A,dn4kebhwzk
833,17,off Hwy 231 south of Tennessee River.,Morgan County,Alabama,Report 25111: Ohio howl type vocalizations for several hours in early morning near Lacey's Spring,34.559459999999994,-86.59747,2008-11-28,25111.0,Class B,dn4kt7mekw
834,18,In the valley off of Greenbrier Cove Rd. close to the Tennessee river,Morgan County,Alabama,Report 39383: Kayaker has rocks thrown and observes the culprit near Union Grove,34.322790000000005,-86.5045,2012-08-15,39383.0,Class A,dn47r832ep
835,19,About 30 yrds away near edge of woods walking along a path,Morgan County,Alabama,Report 40417: Nighttime encounters close to home near Morgan,34.47091,-86.56954,2013-03-16,40417.0,Class A,dn4kn51zxe
836,20,The eastern dike of the East Lagoon,Pickens County,Alabama,Report 5954: Daylight sighting at eastern dike of East Lagoon in Aliceville,33.13,-88.14999,2007-09-01,5954.0,Class A,djck6p5hhr
837,21,,St. Clair County,Alabama,Report 10501: Hikers find footprints near Pell City.,33.6332,-86.2952,2005-02-05,10501.0,Class B,djfxk69z84
838,22,there is a boys home about a half a mile on the right from were we saw this creature.,St. Clair County,Alabama,Report 22539: Roadside Sighting near Moody,33.59,-86.5,2007-07-18,22539.0,Class A,djfrpduegv
839,23,Salt creek falls close to Cheaha State Park,Talladega County,Alabama,Report 1419: Large footprint found in a sandy creek bank near Talladega National Forest,33.48665,-85.8175,2000-07-15,1419.0,Class B,djfyx0j9gk
840,24,cheaha state park,Talladega County,Alabama,Report 17480: Sighting by a group of campers in Cheaha Mountain State Park,33.35,-85.625,2007-04-22,17480.0,Class A,djgjex1vbf
841,25,Omitted to protect privacy.,Talladega County,Alabama,Report 45498: Strange occurrences are ongoing at a rural home outside Talladega,33.24084000000001,-85.7894,2014-07-27,45498.0,Class B,djfvpg61fj
842,26,Withheld at witness' request,Tuscaloosa County,Alabama,Report 7031: Lady sees large hairy creature on the side of the road,33.26035,-87.31821,2003-06-28,7031.0,Class A,djcvjnbgd4
843,27,Withheld at witness request,Tuscaloosa County,Alabama,Report 6938: Tracks and feces found in freshly turned field,33.21145,-87.35664,2003-08-30,6938.0,Class A,djcuujuydz
844,28,,Tuscaloosa County,Alabama,Report 35339: Unexplained happenings on a farm outside Tuscaloosa,33.20837,-87.28992,2012-03-15,35339.0,Class B,djcuvtmkv2
845,29,"Take 171 from Northport, and Bone Camp is a right turn about 3 miles up.",Tuscaloosa County,Alabama,Report 44849: Sightings at night in the same area off Bone Camp Road near Northport,33.37095,-87.6942,2014-12-27,44849.0,Class A,djctu6zpc5
846,30,Near Strip Pits and Highway 118.,Walker County,Alabama,Report 27480: Woman recounts childhood sighting of a white creature near the town of Kansas,33.8957,-87.53395,1990-05-15,27480.0,Class A,dn1bb4e8z0
847,31,1 1/2miles southeast of Nauvoo Alabama.,Walker County,Alabama,Report 1022: Hunters observe creature walking in the woods,33.97575,-87.45876,1990-09-15,1022.0,Class A,dn1c3c47p4
848,32,,Walker County,Alabama,Report 27459: Motorist sights dirty-white upright creature near the town of Kansas,33.8957,-87.53395,2010-03-12,27459.0,Class A,dn1bb4e8z0
849,33,South on Hwy. 45,Washington County,Alabama,Report 37038: Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale,31.25385,-88.26290999999998,2008-02-15,37038.0,Class A,dj91z98fv5
852,34,"FROM GUNTERSVILLE ALABAMA. TAKE 431-NORTH TO CATHREDRAL CAVERNS HWY. ( THIS ROAD GO TO GRANT ALABAMA.) TURN RIGHT OFF OF HWY. 431 ONTO CATHREDRAL CAVERNS HWY, GO ACROSS THE BRIDGE. TAKE THE FIRST LEFT, THAT IS WHITE ELEPHANT RD. JUST A MILE OR UP THAT ROAD IS WHERE THE SIGHTING WAS.",Marshall County,Alabama,Report 18043: Evening sighting by family driving by Guntersville Lake,34.276070000000004,-86.17524,1992-08-15,18043.0,Class A,dn4dzpc0e6
853,35,Winchester Rd. out of Huntsville AL. to Buddy Williamson Rd.  North of Newmarket to Old Limestone Rd.,Madison County,Alabama,Report 416: A resident's early evening sighting next to his home near New Market,34.95605,-86.4559,1983-11-15,416.0,Class A,dn4wbes9z8
854,36,"GO I85 to Auburn,AL Exit 51 go south on 29 about 15-20 miles to Tuskegee National Forest hang right on dirtroad directly before onramp to hwy.80.Go straight up dirtroad hang second left go to top of hill and park in front of dirt mound on the right follow trail to swamp.",Macon County,Alabama,Report 17455: Sighting by duck hunters in swamp area within Tuskegee National Forest,32.43,-85.705,2007-05-19,17455.0,Class A,djg03xxw2y
855,37,"South of Montgomery , Al near the town of Hayneville at a small fishing club with about 5 pond/ lakes around more details available if interested",Lowndes County,Alabama,Report 24646: Early morning sighting by a fisherman south of Montgomery,32.184,-86.581,2001-04-13,24646.0,Class A,djdrjfctkk
856,38,"The main sighting report I leave here happened in Limestone Co. Alabama along a slew of the Tennessee River named Elk Creek, Approx. 12 miles (northwest, I think) from Athens. The other lesser sighting or encounters I list are all from the southeast Alabama area. They are from Coffee, Geneva, Henry and Pike Counties.",Limestone County,Alabama,"Report 799: Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water",34.92855,-87.1105,1978-04-15,799.0,Class A,dn4n9y81d1
857,39,Moved to private investigatiors section.,Lee County,Alabama,Report 18033: Possible stalking of couple parked at power line cut outside Opelika,32.6825,-85.2222,2002-05-30,18033.0,Class B,djg3utxj6g
858,40,"On Waterloo Road going towards Waterloo, after you pass Gravelly Springs, you will pass a Church on the right side of the road. After that you will pass 2 houses I think and a small hill. This sighting took place just past that hill but was on the left side of the road. There was no mobile home there at that time , just a cow pasture.",Lauderdale County,Alabama,Report 28326: Recollection of seeing a hair covered creature squatting next to a road near Waterloo,34.8986,-87.95277,2008-04-15,28326.0,Class B,dn1qw94epf
859,41,Co. Rd 9 Lamar County Alabama,Lamar County,Alabama,Report 35475: Daylight road crossing near Vernon,33.41574,-88.12475,2012-05-21,35475.0,Class A,djcq4ejsb3
860,42,"Just off Hwy 31, Warrior Exit",Jefferson County,Alabama,Report 10498: Hiker has daylight sighting near Warrior.,33.8132,-86.7891,1979-09-15,10498.0,Class A,dn4235d05m
