index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
5,0,Where the park ended and the dirt road began.,Yavapai County,Arizona,Report 28946: Army Vet recalls daylight sighting near Prescott,34.55154,-112.5421,1981-08-15,28946.0,Class A,9qpux1cm6c
52,1,"Apart from the description in the text above, I cannot give precise directions.  I'm not even altogether sure which county we were in at the time, as our hike traversed from Gila to Yavapai.",Yavapai County,Arizona,,,,,1818.0,Class B,
53,2,"From Prescott take Miller Valley Road North about 20 miles to Camp Wood turn off. Then go about another 20 miles on dirt road past Camp Wood to South Mesa Road. Go about one quarter mile to the second turn and then turn to the left. Take the faint road for about 100 yards then take the right fork. 200 yards more, you will find a faint road to the right. I was camped at this junction.",Yavapai County,Arizona,,,,,2375.0,Class B,
54,3,Lo Lo Mai Springs Campground,Yavapai County,Arizona,Report 12266: Camping family glimpses a grey animal twice in three days,34.7706,-111.8907,2005-07-06,12266.0,Class B,9w0mvcg9mt
55,4,down from my house down a hill lies trees along side a large river that stretches along the towns.,Yavapai County,Arizona,"Report 13773: Possible vocalization along the Verde River, near Dead Horse Ranch State Park",34.7,-112.05,2006-01-15,13773.0,Class B,9w0m6hzwju
56,5,"driving into Prescott on Hwy 69 go west to montezuma and turn left follow the road and it will turn into White Spar stay on this road until you see a Woody's gas station, turn right, this road is copper basin follow it up to Sierra Vista.",Yavapai County,Arizona,Report 24818: Long howls heard just outside Prescott,34.45,-112.53,2008-09-24,24818.0,Class B,9qpgzr6juc
57,6,Directions withheld at the request of the witness.,Yavapai County,Arizona,,,,,27303.0,Class B,
58,7,"Take I-17 south toward Flagstaff. Turn onto exit 179, travel 3 miles to Beaver creek. Hike 2 miles north into canyon at creek level.",Yavapai County,Arizona,Report 45652: Late-night frog hunters experience possible territorial behavior north of Rimrock,34.67245,-111.7099,2014-06-29,45652.0,Class B,9w0t1zzmdt
995,8,"North of the Fenster school, near what was the old corrals, south of Sabino canyon a good mile. West of the Sabino Creek.",Pima County,Arizona,,,,,510.0,Class A,
996,9,The location is about 1/2 mile northwest of the CBQ school just east of the old airport,Navajo County,Arizona,Report 19339: Late afternoon road crossing near Cibecue (Fort Apache Reservation),33.99989,-110.4298,2006-10-15,19339.0,Class A,9w13rj7rxn
997,10,We were not to far out of Kingman and we had passed a filling station not that far back.,Mohave County,Arizona,,,,,1853.0,Class A,
998,11,Outside Metro Phoenix area (edited per witness' request),Maricopa County,Arizona,,,,,25975.0,Class A,
999,12,,Greenlee County,Arizona,Report 7566: Bow hunter has daylight sighting near Alpine.,33.6247,-109.3191,1993-09-04,7566.0,Class A,9tfr23hq06
1000,13,"Southwest foothills of Pinaleno Mts--locally known as Mt Graham--nearest town being Fort Grant Military Prison. Graham County, Arizona. Nearest road is AZ Rte 266, 35 plus miles from US I-10.",Graham County,Arizona,,,,,489.0,Class B,
1001,14,,Gila County,Arizona,,,,,1606.0,Class B,
1002,15,"Mountains, North West of Flagstaff, AZ.",Coconino County,Arizona,Report 24405: Man tells of his scary encounter while traveling Route 66 in a snow storm,35.241,-111.8634,1973-12-20,24405.0,Class A,9w22qrrt9y
1003,16,"As you travel Charlestone Road from Sierra Vista to Tombstone heading north east, stop at the San Pedro River bridge, and head north, probably about 1/3 mile along the west side banks of the San Pedro River.",Cochise County,Arizona,Report 24052: Man recounts boyhood experience of hearing a terrifying scream while hunting near the San Pedro River,31.63,-110.177,1972-01-01,24052.0,Class B,9t9euy5d1g
1004,17,"Southwest of Cove, Arizona. Lukachukai Mountain range. Approximately 8-10 miles to top of mountain on windy forest road.",Apache County,Arizona,Report 8685: Morning sighting in the Lukachukai Mountains of northeast Arizona,36.54165,-109.29,1981-11-07,8685.0,Class A,9w6rch1qw3
1085,18,South of Big Lake on Road 273.,Apache County,Arizona,Report 11858: Possible night time sighting near Big Lake,33.9,-109.355,1986-07-06,11858.0,Class B,9w40ze61gf
1086,19,exact location is unknown; spotted owl survey records from that time may indicate otherwise.,Apache County,Arizona,"Report 13548: Possible vocalization heard in the Chuska Mountains, NE Arizona",36.28,-109.14,1998-08-19,13548.0,Class B,9w6qkkwdmd
1087,20,In the mid valley of our community of which is densely surrounded by juniper and pine forests.,Apache County,Arizona,,,,,846.0,Class B,
1088,21,on the Navajo Indian Reservation on the western edge of the Chuska mountains,Apache County,Arizona,Report 6552: Bigfoot crosses road in front of vehicle traveling on Navajo Route 7 near Canyon De Chelley National Monument,36.09081,-109.4276,2001-06-17,6552.0,Class A,9w6jmfjk0n
1089,22,"This incident took place about 7 miles north of Sawmill,  Arizona, on the White Clay Road after passing the power lines. Then its about 1 mile east off the road.",Apache County,Arizona,"Report 12214: Possible vocalizations near Sawmill,AZ",35.97,-109.155,2003-09-28,12214.0,Class B,9w6ksh5u2j
1090,23,"Coming down off a slight rise.  The sides of the road were low, you would have to climb up onto the highway.  There were lots of junipers about 10 to 15 tall on both sides of the road.  I failed to get a road marker.  It happened so fast and I was so unprepared.",Apache County,Arizona,Report 16580: Afternoon road-crossing sighting by motorist on RT 61 near Concho,34.325,-109.64,2006-10-26,16580.0,Class A,9w4530dtdg
