index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
4,0,"Beale is an active Air Force Base now and has changed a lot. The area we were in was about three miles North East of the main part of the base. There were barracks there when the army had it for training. It was called Camp Beale and had some 80,000 acres. The army abandoned the camp many years before this took place. The Air Force reopened it in 1960. Go towards the mountains on base untill you see the thick forest area. I don't know if the barracks are still there or not. Likely not.",Yuba County,California,Report 7211: Hunters Have Unusual Night Time Encounter,39.08,-121.42,1959-10-01,7211.0,Class B,9qcwm429sb
1005,1,It is about 4 hours horseback past Piedra Blanka,Ventura County,California,,,,,3684.0,Class A,
1006,2,The area was a large cattle ranch made available to the scouts to camp on.,Tulare County,California,Report 1229: Boy Scout has late night sighting above Porterville,36.10222,-118.8489,1955-08-01,1229.0,Class A,9q7mrs0yev
1007,3,"After reaching Payne's creek, my father would drive even farther.  It was usually late at night when we would finaly arrive and I was usually asleep.",Tehama County,California,Report 849: Girl has daytime sighting near Payne's Creek,40.33556,-121.9139,1968-11-01,849.0,Class A,9r1m3yc58j
1008,4,"Get off I-5 @ South Ave, go south 1 mi to Tehama Ave, turn right, go over the over pass take first left, Barham Ave, go 1/4 mi and you're there.",Tehama County,California,Report 7731: Hunting Partners Have Early Morning Roadway Sighting,39.92778,-122.1781,1973-10-15,7731.0,Class A,9r155u8s5v
1009,5,Access from East. Started high and paralled the river for 5 - 7 miles.,Tehama County,California,Report 6706: Hikers see large print in Yolla Bolly Wilderness,40.0625,-123.2208,1975-06-01,6706.0,Class B,9r07uj1kgr
1010,6,"We were driving on county road A6, off of Hwy 36 between Dales and Manton, in Tehama County.",Tehama County,California,,,,,1114.0,Class A,
1011,7,"Going east on Hwy 36 from Red Bluff, and just east of the town of Mineral, California, and before you get to Hwy 89 there is a campground on the south side of the highway. On the north side of that highway there is a forest road that is numbered 31N17.",Tehama County,California,,,,,23030.0,Class B,
1012,8,"From Garberville take the Blocksburg Road to Fort Sewart and from there to the little town of Zenia, right next to the Six Rivers national forrest.",Trinity County,California,Report 6962: Friends hear late night scream near Garberville,40.20556,-123.4908,1964-11-01,6962.0,Class B,9r0htzhwrg
1013,9,Papoose Lake in the Trinity Alps Primitive Area.  14 miles from trailhead up Rattlesnake Creek.  Papoose lake is a large lake in a glacial cirque and is easily located just below Thompson peak in the Trinity Lake.,Trinity County,California,,,,,160.0,Class B,
1014,10,"Tracks in Trinity Alps, near Eagle Creek Bench area on "" Old Pacific Crest Trail  Route."" Sounds heard near Blood Run area.",Trinity County,California,,,,,7352.0,Class B,
1015,11,,Trinity County,California,,,,,2579.0,Class B,
1016,12,,Trinity County,California,,,,,2581.0,Class B,
1017,13,"Take Interstate-5 to Redding, west to Weaverville, north on Highway 3 to Coffee Creek Road, then west to Big Flat Trailhead.  We then took trail 5041 approximately 12 miles SSE on horseback into the Trinity Alps Wilderness Area.  We went past the Yellow Rose Mine, past Red Rock Mountain, along the ridge until you get to Bear Creek.  From Bear Creek we followed the trail southwest to our camping spot (north/northwest from the trail).",Trinity County,California,Report 7773: Hunters hear late night screams in the Trinity Alps Wilderness,40.9913,-122.8719,1980-09-30,7773.0,Class B,9r295yprth
1018,14,,Trinity County,California,Report 14642: Evening road crossing sighting near Lewiston (Hwy 299),40.6789,-122.8055,1982-08-09,14642.0,Class A,9r0xmmrgb2
1019,15,"""Big Slide"" swimming hole on the South Fork of the Trinity river.",Trinity County,California,,,,,2490.0,Class A,
1020,16,Bridge Camp or Stewart's Fork,Trinity County,California,,,,,2819.0,Class A,
1021,17,"This incident occurred about 1 mile below the Lewiston river damn in a park service campground that was still closed for the season at the time. This gis about 5 miles up the road from the town of Lewiston, California I remember specifically that there is a fire base camp on the hill above the campsite. I do not remeber the county name, but I can get it for you if you cannot locate it yourself.",Trinity County,California,,,,,2820.0,Class A,
1022,18,"Trinity County, Weaverville, near the Weaver Valley fire look-out in the Trinity Alps.",Trinity County,California,,,,,2873.0,Class B,
1023,19,"Mud Springs: a hunters campsite with a freshwater spring, near the intersections of USFS roads 29N73 and 29N32 and 29N48 (they all meet)... (40 DEG 21' 30"" North / 123 DEG 08' 30"" West) on South Dubakella Mountain.",Trinity County,California,,,,,596.0,Class B,
1024,20,"We were at a campsite located at Three Forks, which is near the source of the Mad River.  We were just off the paved road about thirty yards.",Trinity County,California,,,,,533.0,Class B,
1025,21,Out by Lewiston Lake,Trinity County,California,,,,,405.0,Class A,
1026,22,In the Shasta/Trinity Forest,Trinity County,California,Report 13419: Firefighter describes multiple-witness sighting during the Loma Fire,40.7485,-123.2718,2003-09-15,13419.0,Class A,9r0rffh1ny
1027,23,"right on trail, where trail first breaks into open meadow--about 50 ft or so of prints; the trail surface becomes too hard to sustain prints before and after the tracks, so i couldnt follow them very far.",Trinity County,California,"Report 7115: Mountain runner spots large, deep footprints on Stuart Fork Trail in Trinity Alps",40.98333,-122.6986,2003-10-14,7115.0,Class B,9r29puv95q
1028,24,"West on highway 299, about 14 miles west of Weaverville, Ca. then go north on the Hobo Gulch Rd.",Trinity County,California,,,,,7231.0,Class B,
1029,25,"Well, from Bay area take I-5 north to Hwy. 299 then go west on Hwy. 3 North. The campground is right off the road. It was a very long and winding road, and it takes 6 hours to get to from home. It was a long and beautiful ride.",Trinity County,California,,,,,8729.0,Class B,
1030,26,It was Big Bear Lake. The trail head is off HWY 3 about 40 miles north of Weaverville and about a 5 mile hike to the lake.,Trinity County,California,Report 27327: Wilderness campers have an unknown visitor in the Trinity Alps of Northern California,41.1139,-122.7,2010-08-29,27327.0,Class B,9r29zus9ff
1031,27,MONACHE  MEADOWS----SOUTH  FORK  KERN  RIVER,Tulare County,California,"Report 12328: Hunters are awakened by loud, repetitive vocalizations in Monache Meadows",36.1894,-118.1729,1979-10-01,12328.0,Class B,9q7vyuj4ec
1032,28,"Above Kernville, CA  Highway 190 north area--  Peppermint Springs Campground was within several miles of our wilderness camp.",Tulare County,California,"Report 11407: Two young men camping in the high country, hear vocals",36.05361,-118.5347,1985-10-27,11407.0,Class B,9q7tnemet2
1033,29,,Tulare County,California,Report 2794: Woman has early evening sighting near Kennedy Meadows,36.05278,-118.1303,1987-05-31,2794.0,Class A,9q7vpghnst
1034,30,"Bearpaw Meadow, California High Sierra Trail",Tulare County,California,,,,,2183.0,Class A,
1035,31,"Just south of Three Rivers, California, about 3 miles up the South Fork Road. This is in Tulare County.",Tulare County,California,,,,,2877.0,Class A,
1036,32,"In Re: the Three Rivers sighting in Tulare, CA, August 1998",Tulare County,California,,,,,2878.0,Class C,
1037,33,"Tule River Indian Reservation, Porterville CA.",Tulare County,California,Report 9357: Workers have daytime sighting on Tule River Indian Reservation,36.0438,-118.7402,2000-05-01,9357.0,Class A,9q7t41842g
1038,34,Take the Kennedy Meadows exit from Highway 395 (I don't remember the road name or number) and drive about 22 miles up into the mountains. The Pacific Crest Trail is on the far side of the campground.,Tulare County,California,,,,,2431.0,Class A,
1039,35,"This was in the Sequoia National Park.  All I can say for now is that on the way there, we passed a lake, then turned off onto a road into the woods. It took us a long time, we crossed a very old bridge, and the parking area we left our car at had marmot warnings. Apparently they eat into hoses or belts on the car. People had chicken wire and such to keep them out.",Tulare County,California,Report 6922: Campers have rocks thrown at them near Mineral King,36.4525,-118.6092,2001-06-01,6922.0,Class B,9q7xkgzrjq
1040,36,"It was in the South Fork Meadows area in southern Sequoia National Park near the border of the Golden Trout Wilderness area. The specific backcountry campsite is in the Hockett plateau area at about 8,500 feet elevation.",Tulare County,California,Report 3121: Hiker hears loud scream in Sequoia National Park,36.22306,-118.6744,2001-09-06,3121.0,Class B,9q7w56pyw5
1041,37,Golden Trout Wilderness Packing Station - it's web site is under the same name.,Tulare County,California,Report 4887: Family has strange experience in Golden Trout Wilderness,36.10556,-118.5272,2002-09-03,4887.0,Class B,9q7tqug4hh
1042,38,Camp was located about 150 yards west of the main Monache trail on the road toward the Monache ranger camp. Detailed topo map available on request.,Tulare County,California,Report 19448: Possible vocalizations heard by campers near Monache Mountain,36.1999,-118.1666,2007-06-01,19448.0,Class B,9q7vzjcxww
1043,39,Take Sherman Pass Road past Kennedy Meadows General Store.  Continue on towards Troy Meadows. We turned on a vague dirt road within a mile of the entrance to Fish Creek Campground. Our camp was close to the old Jackass Trail connector.,Tulare County,California,Report 22815: Campers hear loud vocalizations near Kennedy Meadows,36.07081,-118.2084,2008-01-09,22815.0,Class B,9q7vnn7r8w
