index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
3,0,"Rural road in Weld County, just west of Greeley, Colorado",Weld County,Colorado,,,,,1377.0,Class A,
1464,1,Below the treeline on the west side of Pikes Peak looking toward the north in the direction of Horsethief Park.,Teller County,Colorado,Report 10533: Hikers have daylight sighting west of Pikes Peak,38.826,-105.1146,1977-07-04,10533.0,Class A,9wvkbh1cu6
1465,2,see report,San Juan County,Colorado,Report 15630: Miner reports pre-dawn road crossing near Silverton,37.83905,-107.7247,1989-04-01,15630.0,Class A,9werk8mk2w
1466,3,"4 miles SW of Walton Creek Campgrounds, Routt National Forest, Gore Mtn. Range",Routt County,Colorado,,,,,1372.0,Class A,
1467,4,(edited at request of witness and for further investigations),Rio Blanco County,Colorado,Report 13699: Possible knocks heard near the Flat Tops Wilderness area of White River National Forest,40.00385,-107.4381,2005-10-17,13699.0,Class B,9x5ee4mzqf
1468,5,"Approximately 100 Miles south of Colorado Springs, near Pueblo; off the east shoulder of I-25 in Pueblo County",Pueblo County,Colorado,,,,,1371.0,Class A,
1469,6,,Park County,Colorado,,,,,1370.0,Class A,
1470,7,"The incident occurred in Fall Creek Basin, on Hayden Mountain, above Camp Bird mine.  From Ouray Colorado, take the graded road to Camp Bird mine and Yankee Boy Basin.  If you have a topo map, you will see the drainage of Fall Creek out of Fall Creek Basin.",Ouray County,Colorado,Report 140: Characteristic vocalization heard by hunter on Hayden Mountain,38.48959,-107.7,1996-08-24,140.0,Class B,9wg6vnz605
1471,8,"North of Montrose, the old Airport road, which is now called 64.50 Road",Montrose County,Colorado,Report 1075: Teens fire at big black thing peeking in window of home,38.49833,-107.8833,1977-05-01,1075.0,Class A,9wg7103v0b
1472,9,In the Jersey Jim Lookout tower area.,Montezuma County,Colorado,"Report 3086: Large creature leaves 12""+ handprints on camper trailer during rainy night",37.4625,-108.2083,2001-09-08,3086.0,Class A,9wej1ev4gu
1473,10,Dinosaur National Monument,Moffat County,Colorado,Report 1368: witness saw man-like creature covered with dark red hair while hiking in the extreme eastern part of Dinosaur National Monument.,40.45418,-108.5417,1991-07-02,1368.0,Class A,9x4y4h6qej
1474,11,At Carson Lake. The lake sits on the edge of what is called Lands End on the Grand Mesa.,Mesa County,Colorado,Report 20028: Hunter recalls unusual and persistent vocalizations at Carson Lake on the Grand Mesa,38.9969,-108.1098,1987-10-15,20028.0,Class B,9wgjgghv7j
1475,12,I know it was in Grand Junction.,Mesa County,Colorado,Report 14503: Night time sighting by a youth leader at a bible camp near Grand Junction,39.16305,-107.9514,1999-05-15,14503.0,Class A,9wgnz92jq1
1476,13,East side of Douglas Mountain and West side of the Little Snake River.,Moffat County,Colorado,,,,,7077.0,Class B,
1477,14,"At the southern end of the Danforth Hills, on private property known as the Morgan Creek Ranch, owned by the Colowyo Coal Company. This property is part of the Colorado Division of Wildlife's Ranching for Wildlife program, and is actually known as Morgan Creek Ranch.",Moffat County,Colorado,Report 16648: Hunter reports possible vocalizations in the Danforth Hills near Meeker,40.277,-107.8708,2006-11-04,16648.0,Class B,9x5m1k4ys0
1478,15,On the west side of Helmets Peak. A little ways up from the base.,Montezuma County,Colorado,Report 6755: Another large footprint in SW Colorado high country,37.4125,-108.1292,2003-08-30,6755.0,Class B,9wehg6wxx5
1479,16,,Montezuma County,Colorado,Report 14243: Dusk sighting by charter bus driver on Hwy 160 near Mancos,37.33925,-108.3364,2004-10-15,14243.0,Class A,9wduqtrufu
1480,17,"Private deeded rural community called Indian Mountain approx 2-3 miles W. of Kenosha Pass off Rt. 285. Jefferson, Colorado",Park County,Colorado,Report 1369: faint groaning and growling vocalizations heard.,39.40305,-105.8226,1998-09-04,1369.0,Class B,9xh8pvn76s
1481,18,One mile North of Eleven Mile Reservoir on Park County Rd #92,Park County,Colorado,Report 1237: While standing on the deck of vacation home man hears eerie human-like calls,38.93333,-105.4917,2000-09-01,1237.0,Class B,9wuvrrx714
1482,19,"8.8 miles west of Hwy 285, south side of Park County Road 18 (4-Mile Creek/Horseshoe Basin)",Park County,Colorado,"Report 529: Couple hears strange cry, finds big footprints in Pike National Forest near Fairplay",39.2026,-106.1143,2000-09-21,529.0,Class B,9wux129gtw
1483,20,Withheld at request of witness.,Park County,Colorado,Report 2493: Family startled by overpowering cries near their rural home,38.9,-105.3812,2001-05-12,2493.0,Class B,9wvj3cxbbj
1484,21,"Outside of Fairplay, in dense forestry at a clearing often used by caravans and campers.",Park County,Colorado,Report 3112: UK Gypsies vacate Colorado campsite after encounter with 7' creature,39.20834,-106.0417,2001-09-30,3112.0,Class B,9wux4cwv1k
1485,22,,Park County,Colorado,Report 4897: Family finds and hears compelling evidence near Leadville,39.3045,-106.171,2002-08-31,4897.0,Class B,9wux850tk3
1486,23,south on 285 coming down on the backside of Kenosha Pass headed towards jefferson.,Park County,Colorado,"Report 22801: Further apparent corroboration of multiple-witness, winter, nighttime, road-crossing near Kenosha Pass",39.39565,-105.7854,2002-12-15,22801.0,Class A,9xhb0gc2m9
1487,24,(location withheld at witness' request),Park County,Colorado,Report 35596: Early evening sighting by two women hiking in Bailey,39.40589,-105.475,2012-05-29,35596.0,Class A,9xhbpve7yq
1488,25,,Park County,Colorado,Report 46795: Hunter experiences night-time rock-throwing and possible vocalizations while camping near Hartsel,38.77741,-105.9111,2014-10-12,46795.0,Class B,9wustgjyu3
1489,26,The road on the east side of Kenosha Pass Campground that takes you up to the Twin Cones. The rock throwing and tree knocking occurred off the road about 15 minutes from the top. It was at the campsite on the right side.,Park County,Colorado,Report 60877: Mother and daughter have a scary daytime encounter while hiking on North Twin Cone,39.4191,-105.7065,2018-08-23,60877.0,Class B,9xhb684buh
1490,27,Included in above report.,Pitkin County,Colorado,Report 470: Late night sighting by backpacker near Crater Lake,39.1084,-107.0153,2000-08-23,470.0,Class A,9wgykz3yfy
1491,28,"Trail access was off a BLM access road, about 2 miles up West Sopris Creek Road, on the left.",Pitkin County,Colorado,"Report 3653: Daytime sighting by hiker, off West Sopris Creek Road",39.3375,-107.0671,2001-02-20,3653.0,Class A,9wgzg9hje9
1492,29,The sighting location was about 7 miles east of Aspen at the top of the  Hunter Creek drainage of the Hunter-Fryingpan Wilderness Area.,Pitkin County,Colorado,"Report 7036: Elk hunter trailed by large biped in twilight, finds tracks the next day",39.45824,-106.625,2003-09-17,7036.0,Class A,9xh0mxnhcm
1493,30,,Pitkin County,Colorado,,,,,24696.0,Class B,
1494,31,,Routt County,Colorado,Report 12576: Elk hunters find series of tracks in Mt. Zirkel Wilderness,40.55415,-106.7084,1978-10-18,12576.0,Class B,9xhney9m41
1495,32,"1.) Routt National Forest, Routt County Colo. just off Hwy 40 My girlfriend and I were snowshoeing about 3 miles off the road. 2.) Emerald Mountain, Steamboat Springs, Colo. I was riding my mountain bike, near the summit.",Routt County,Colorado,,,,,1373.0,Class A,
