index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
0,0,"Interstate 10, east of Caryville",Washington County,Florida,Report 5884: Road crossing sighting by motorist,30.7599,-85.76890999999998,2003-02-18,5884.0,Class A,dj7nbr8vrs
73,1,I was headed east on Highway 90 just came off river bridge,Washington County,Florida,Report 42885: Possible daytime highway crossing on US-90 outside Caryville,30.46805,-85.4937,2003-10-15,42885.0,Class B,dj7jqd93k2
74,2,TAKE HWY-77 SOUTH FROM GREENHEAD ABOUT 3 2/2 MILE.,Washington County,Florida,Report 9174: Man has nighttime sighting in his yard,30.4664,-85.6316,2004-08-08,9174.0,Class A,dj7j76hzxh
1717,3,"I cannot remember where we had parked, but we walked almost straight northeast for about 5 or 6 miles.",Wakulla County,Florida,,,,,23570.0,Class A,
1718,4,"About 5 miles north of Lake Butler, the lake located just North of the town.",Union County,Florida,"Report 23498: Bow hunter describes possible tracks, sounds and scat north of Lake Butler",30.07067,-82.38086,1986-11-15,23498.0,Class B,djm7j6hn6g
1719,5,"HWY 98 West to the Econfina River Grade, Left on said road to Snipes Island Grade, Back near the Marshlands.",Taylor County,Florida,Report 28263: Man recalls his terrifying encounter near the Econfino State Park while camping with his family,30.11597,-83.89289000000002,1981-11-21,28263.0,Class B,djk76frn1z
1720,6,,Suwannee County,Florida,Report 20981: Two Fishermen describe a possible bluff charge outside Wellborn,30.266820000000006,-82.87125,1994-06-15,20981.0,Class B,djmh4jyvpb
1721,7,[West of Tarrytown -- Specific location details removed from this version of the report],Sumter County,Florida,Report 12628: Possible sighting in woods separating farms west of Tarrytown,28.555,-82.055,1990-06-01,12628.0,Class B,djjdky32gv
1722,8,Take SR 207 East from I-95 to the Florida East Coast Railroad tracks. Sighting was south bound of the the RR tracks on right-of-way. Between SR 207 and Kings Estate Rd. (next crossing south of SR 207),St. Johns County,Florida,Report 1003: Two horseback riders see hairy creature,29.85375,-81.3456,1984-10-15,1003.0,Class A,djq1uftywn
1723,9,"Hwy 50 to Hwy 419 , approx. 6 miles to Chuluota",Seminole County,Florida,Report 37304: Best friends recall watching their dirt bike being canvassed by a hairy biped while camping at Lake Mills,28.62323,-81.12898,1972-07-29,37304.0,Class A,djn6cfewms
1724,10,"take Winter Park dr. to the entrance of South Seminole middle school. Once enering stay to the right of the school. Pull into the sand parking lot and head down the dirt road that runs away from the school. At the fence of the school you will see three or four wooden post sticking up out of the ground, go past these post about fifty or sixty feet till you come to the fence at the rear of the school. here the first houses lot begins. Turn around look into the woods, and maybe you will see what we saw that night.",Seminole County,Florida,Report 1079: Foot steps heard in wood line. Weeks later more sounds heard,28.662,-81.31985,1981-10-15,1079.0,Class B,djn5j9b8q0
1725,11,Dark secluded woodsy area bordering a lake.,Seminole County,Florida,Report 44404: Memory told of a possible night encounter while camping near Sanford,28.8555,-81.306,2003-04-15,44404.0,Class B,djnhjufz2z
1726,12,Exact location omitted,Seminole County,Florida,Report 24134: Homeowner hears possible howls east of Winter Springs,28.63434,-81.14076,2008-06-30,24134.0,Class B,djn6csep57
1727,13,,Seminole County,Florida,Report 59236: Close road side sighting while driving early in the morning West of Longwood,28.42146,-81.23721,2017-01-31,59236.0,Class A,djn1xmuz5b
1728,14,"It happend on St. Ambrose Church Rd. You take St. Rt. 207 east out of St. Augustine for about 7 miles. Off to the right is a road that y's off, That is St. Ambrose Church Rd. I am about 3 miles down the road on the right.",St. Johns County,Florida,Report 12351: Possible vocalizations heard by residents outside Elkton,29.7788,-81.45421,2005-08-19,12351.0,Class B,djq16mnf56
1729,15,Guana River WMA which is several miles North of St. Augustine off A1A (Guana River Dam State Park).  Head North on A1A and turn left into the park.  Go past the dam and follow the dirt road into the woods.  Pass through the State Park area and through the gated entrance into the WMA.  The check station and parking area is several hunderd yards past the gate. The sounds were about 75 to 100 yards behind the check station towards a marshy area that borders the WMA and State Park (Southwest direction).,St. Johns County,Florida,Report 7109: Possible vocalizations heard by hunters and a biologist in Guana River WMA,30.0771,-81.39806,2006-10-07,7109.0,Class B,djq55erez9
1730,16,It was between two canals that lead to the ocean,St. Johns County,Florida,Report 31745: Up close encounter experienced by a father and son fishing south of St. Augustine,29.83863,-81.2299,2011-07-02,31745.0,Class A,djq1xxfnw5
1731,17,,St. Johns County,Florida,Report 40019: Possible daylight encounter after after initiating calls in Twelve Mile Swamp,29.96828,-81.4048,2013-02-23,40019.0,Class B,djq47xdcfs
1732,18,center grade by the power lines,Sumter County,Florida,Report 28200: Father and son have very close daylight sighting in the Green Swamp,28.44926,-81.95577,2009-10-10,28200.0,Class A,djj9z518un
1733,19,"as close as I could get with satalite maps GPS +28-27'-5.16''   81-57'22.94'' It was right at the sumter co. lake co. line on center grade rd. by the power lines. In richloam wildlife management area, in the green swamp.",Sumter County,Florida,Report 26823: Daylight sighting by hunter and son in Richloam Wildlife Management Area,28.44926,-81.95577,2009-10-18,26823.0,Class A,djj9z518un
1734,20,take hwy 50 west till baylake on left drive till you hit the woods drive till you hit the 4 way take a right follow till 2nd camp on left.,Sumter County,Florida,"Report 28237: Weekend camping trip in the Green Swamp is interrupted by a hairy, bipedal intruder",28.50566,-81.97483000000003,2010-09-05,28237.0,Class A,djjdnt7c80
1735,21,"Bushnell Florida, on 48 on the curve at Wahoo Church on the right hand side where the woods are, and wild pigs and deer. Also there's an old shed next to the curve.",Sumter County,Florida,Report 43381: Driver sees a large animal possibly stalking wild boar outside Bushnell,28.69205,-81.7089,2012-10-15,43381.0,Class B,djjghxjrk9
1736,22,Head south on 471. Take a left onto center grade road. Midway down that road off the main road on the left a trail. it is in Richloam wildlife management area.,Sumter County,Florida,Report 36915: Possible daytime encounter by a father and son hunting in the Richloam Wildlife Management Area,28.45786,-82.04508,2012-11-11,36915.0,Class B,djj9vh8e51
1737,23,,Sumter County,Florida,Report 38923: Possible nighttime activity in the retirement community The Villages,28.94296,-81.97549000000002,2013-12-13,38923.0,Class B,djjswsgkbw
