index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
1,0,"This is an area that I am very familiar with, have fished there many times, seen deer, bobcat and coyotes but nothing strange or never heard any strange sounds.Before I was born there were rumors of panthers in the area. Lots of wilderness in this area. Years ago, teenagers used to swim in the river.And people would throw out their trash, old mattresses or furniture there. About 10 years ago, the old dirt road was blocked and a new road was paved with a new bridge put over it and I used it quite frequently, but not everyday. The nearest house was probably 200 yards away.",Whitfield County,Georgia,Report 21193: Daylight sighting by motorist from Jimmy Witherow Bridge,34.48287,-84.5136,2007-08-01,21193.0,Class A,dn5uhv7j62
63,1,It was off of a Forest service road near Alt. 75,White County,Georgia,Report 21402: Daylight sighting by artifact hunter northwest of Cleveland,34.64145,-83.80404,1980-07-01,21402.0,Class A,dnhmhfrc06
64,2,Poplar Stump Rd. (FS 44),White County,Georgia,Report 23978: Possible encounters near the Upper Chattahoochee River Recreation Area,34.78035,-83.78375,1990-10-20,23978.0,Class B,dnhmv7wd1p
65,3,the upper hooch,White County,Georgia,Report 28637: Two fisherman recall a daylight encounter north of Helen,34.7673,-83.77811,1993-05-15,28637.0,Class A,dnhmv94whw
66,4,"it was near Duncan Bridge, between the turn off for that road and Hwy. 17.",White County,Georgia,Report 7237: Evening sighting by motorist on Hwy 75 near Duke's Creek,34.672,-83.714,1999-11-25,7237.0,Class A,dnhmppc743
67,5,The dirt road was on the left hand side of the road before you get to the trail head of Raven Cliff Falls.  I am not sure which road it was though.,White County,Georgia,Report 8880: Possible vocalization and camp stalking in Raven Cliffs Wilderness Area,34.7064,-83.8329,2005-06-15,8880.0,Class B,dnhmkq4erv
68,6,my backyard,White County,Georgia,Report 9465: Witness watches tall biped cross her backyard,34.68319,-83.69085,2005-07-14,9465.0,Class A,dnhmr9fhjz
69,7,"Go through Helen. Turn left on Alt. 75, just past flea market. Cross bridge and turn right on Poplar Stump Rd. Turn left on Myra Branch Rd, Then left on McConnell Court.",White County,Georgia,Report 13178: Vacationer hears possible vocalizations late at night southeast of Helen,34.66255,-83.76585,2005-11-25,13178.0,Class B,dnhmjy5efp
70,8,[Exact location omitted] on the Appalachian trail,White County,Georgia,,,,,22852.0,Class B,
71,9,[Omitted],White County,Georgia,Report 25693: Husband and wife hear characteristic vocalizations in the Sautee-Nacoochee Valley,34.70107,-83.6746,2009-03-15,25693.0,Class B,dnhmrvnh2s
72,10,About .2 miles north of Duncan Bridge (Hwy 384),White County,Georgia,Report 46328: Motorist has daylight sighting on GA-75 between Helen and Cleveland,34.66467,-83.71705,2009-03-30,46328.0,Class A,dnhmnyx076
1590,11,,Wayne County,Georgia,Report 27072: Hunter has a late-afternoon encounter near the Altamaha River,31.46641,-81.64665,2008-11-23,27072.0,Class A,djtgn069p5
1591,12,Pigeon mountain about a mile from the turn of a hwy 193. The area has change a great deal since this incident happened.,Walker County,Georgia,Report 7464: Deer hunter describes possible stalking on Pigeon Mountain.,34.66029,-85.39171,1974-11-01,7464.0,Class B,dn5m0vewuf
1592,13,,Upson County,Georgia,Report 9001: Possible howls heard near Thomaston,32.80865,-84.25755,2004-07-15,9001.0,Class B,dju4dsts0z
1593,14,[Removed Location Details],Union County,Georgia,Report 29326: Memory told of a nighttime encounter at close range near Blairsville,34.84161,-83.94456,1994-05-15,29326.0,Class A,dnhq1y9rjf
1594,15,Removed for confidentiality.,Troup County,Georgia,Report 30135: Man recalls encounter with 7 foot tall creature on grandparents farm,32.968540000000004,-85.02601999999997,1960-11-04,30135.0,Class A,djge91tzwj
1595,16,I will gladly send in a e-mail but don't want to give out my fishing spot.,Troup County,Georgia,,,,,35512.0,Class B,
1596,17,Gooch Mountain Shelter,Union County,Georgia,Report 23701: Vocalization heard at close range on Appalachian Trail (Gooch Mountain Shelter),34.6527,-84.0354,2005-07-03,23701.0,Class B,dnhjpsr697
1597,18,"Rocky Lane, Pidgeon Mtn near LaFayette, GA. In Walker County this dirt & gravel road is approx. 13 miles long. Desolate surroundings.",Walker County,Georgia,"Report 2589: Couple hear loud, reverberating screams, witness a large, bulky man-like figure in the moonlight near Pidgeon Mountain",34.66005,-85.4034,1998-08-04,2589.0,Class B,dn5m0tejkt
1598,19,"Take Hwy 136 West from LaFayette, GA. Area of interest is between Wright Mineral Spring and Hwy 341 off of Hwy 136.",Walker County,Georgia,Report 7088: Deer hunter hears strange screams and possible stalking near Pigeon Mountain,34.77525,-85.3297,2003-10-07,7088.0,Class B,dn5mf68u9b
