index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
4354,0,Approximately 6 miles from McCall as it was then.  The area has now gone commercial and has much development on it.  The actual location is now a tennis court.,Valley County,Idaho,Report 4741: Four witnesses have encounter near McCall,44.91666,-116.0833,1969-08-16,4741.0,Class A,9rvrw2ydx0
4355,1,"I'm not 100% sure, but this looks like the location. http://maps.google.com/maps?hl=en&ie=UTF8&ll=47.682726,-116.209431&spn=0.019184,0.040169&t=h&z=15",Shoshone County,Idaho,Report 24224: Man tells of his possible daylight encounter as a young motorcycle explorer in the Coeur d'Alene National Forest,47.6835,-116.211,1981-08-01,24224.0,Class B,c2mr7898x2
4356,2,South on Mudflat to the aprox end of the farming and look SE toward some small hills and chalk bluffs.,Owyhee County,Idaho,Report 5720: Night time rabbit hunters spotlight 7' tall biped leaping over 4' sagebrush as it escapes from view,42.79166,-116.25,1963-06-15,5720.0,Class A,9rt76tvr6x
4357,3,"A few miles south from Malad City, Idaho on I-15 is a rest stop the ""Cherry Creek"" rest stop on the mountain side of the freeway. My report is from that rest stop",Oneida County,Idaho,Report 57784: Traveler sleeping at rest stop near Malad City awakened by possible wood knocks,42.10072,-112.2149,2017-06-17,57784.0,Class B,9x2pw2pw7r
4358,4,"To get to the location of the encounter, you would drive east of Ririe turning North to cross the river West of Heise Hot Springs. Go east of the hot springs to the intersection in the road where you go left to Kelly Canyon or right to the River Road 206, follow the road east up the north side of the South Fork of the Snake River To the Trail Head at Big Burns Creek. Go up the trail up Big Burns Creek until you come to the first Large canyon with a creek flowing down it from the East. That will be Little Burns Creek. ??about 4-4 1/2 miles from the trailhead.?? I don't care if you post the area because there is already alot of people that go into this area in the summer time, horses riding, hiking, Motorcycle riders, etc. Not too many during the hunting season. I'll leave it up to BFRO to decide what is best on the posting.",Madison County,Idaho,Report 18958: Screaming and eyeshine witnessed by hunter in the Big Hole Mountains,43.61015,-111.4418,2008-04-12,18958.0,Class B,9xbb04fx9c
4359,5,"This incident occurred in a place called the Big Horn Crags, Frank Church Wilderness, Central Idaho.(Lemhi Co. I believe) Meadow area at the Crags campground (trail head)",Lemhi County,Idaho,,,,,2316.0,Class B,
4360,6,,Kootenai County,Idaho,Report 10012: Night time encounter with parked trucker and wife near Post Falls.,47.70965,-116.9266,1988-12-03,10012.0,Class A,c2kz7m28ue
4361,7,"Near Coeur d'Alene, Kootenai County Idaho on Highway 95 - possibly only 5 to 10 miles north of Hayden Idaho.",Kootenai County,Idaho,,,,,2315.0,Class B,
4362,8,There is one road that goes around Fernan Lake take that road wich starts at the Sherman exit last exit before leaving Coeur D'Alene east bound on I-90. So get on Fernan Lake road go around the lake stay on that road until you get all the way up to the top of the mountain and there you will come to a big turn out actually there is two smaller dirt roads that go from the turn out one goes down the mountain towards Blue crick bay the other goes up and around the ridge and of course the main road you came up that is it!,Kootenai County,Idaho,,,,,7180.0,Class A,
4363,9,"Buckles Mountain east of Garwood, Idaho",Kootenai County,Idaho,Report 15206: Possible tracks found on Buckles Mountain,47.85001,-116.6079,2005-10-06,15206.0,Class B,c2t04wbdwb
