index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
4353,0,,Woodford County,Illinois,Report 26874: Possible footprints found near Mackinaw River,40.65639,-89.04518,2009-09-24,26874.0,Class B,dp0xm9r28u
4408,1,Near the bridge where Interstate 39 crosses the Kishwaukee River.,Winnebago County,Illinois,Report 19910: Nighttime sighting by property owner near Kishwaukee River.,42.1846,-89.022,1994-10-22,19910.0,Class A,dp2xyr2pj5
4441,2,"Take 394 to Goodenow Road, if heading south take a left on Goodenow Road. Take to Dutton, there is a sign on the corner of Dutton for the preserve.",Will County,Illinois,Report 42140: Hiker has daylight sighting in Goodenow Grove Nature Preserve,41.40762,-87.60593,2009-10-10,42140.0,Class A,dp3ew6p2cg
4442,3,About four and a half miles outside of Erie following River Road next to Johnson Slough.,Whiteside County,Illinois,Report 12919: Youth has nighttime sighting along Rock River,41.6,-90.1,1986-11-15,12919.0,Class B,9zruttp1tf
4443,4,My family's rural property.,White County,Illinois,,,,,29360.0,Class B,
4444,5,,Washington County,Illinois,Report 57303: Memory told of a sighting on a farm near Nashville,38.33912,-89.35323000000002,2000-05-18,57303.0,Class A,dnb6neqvwc
4445,6,"This location is right past the Galesburg, Illinois Airport and Farm King on Old Highway 34 [Illinois Route 164] if you travel out West Main St. from Galesburg.  The animal was crossing from the south to north side of the road.",Warren County,Illinois,Report 47249: Motorist has dusk sighting west of Galesburg,40.9474,-90.4429,2015-01-12,47249.0,Class A,9zr8vyjrzs
4446,7,It was off of old E 1020 N about half a mile.,Wabash County,Illinois,Report 37856: Close encounter at night by a motorist near Mt.Carmel,38.37945,-87.79079,2010-10-19,37856.0,Class A,dncd66b8w2
4447,8,Vermilion County  - Kickapoo State Park [specific directions edited out per request of witness],Vermilion County,Illinois,"Report 15844: Possible sounds heard, etc., in Kickapoo State Park",40.1527,-87.7424,2005-10-01,15844.0,Class B,dp1s7mefmv
4448,9,"It was in my 5 acre timber I own west of Illinois Route 73 south of Pearl City, Illinois.",Stephenson County,Illinois,Report 15347: Deer hunter has early morning sighting from tree stand near Pearl City,42.21,-89.85,2003-10-26,15347.0,Class A,dp805kj5p6
4449,10,It was on a straight piece of highway with nothing but fields and flatland to the east and Lake Shelbyville around 10 to 15 miles to the west. It was heading west.,Shelby County,Illinois,Report 42794: Memory told of a nighttime highway crossing near Stewardson,39.2372,-88.61966,1998-09-28,42794.0,Class A,dnbzpqvjk2
4450,11,North 67 maybe within 10 miles of Rushville. I'm not familiar with the area and have not been back through since.,Schuyler County,Illinois,Report 40457: Memory told of a close encounter by motorists just north of Rushville,40.25679,-90.59952,2000-01-09,40457.0,Class A,9zpt42e2y1
4451,12,the location is now conduminiums and a marina just off route 84 at the north end of Hampton Il.,Rock Island County,Illinois,Report 24147: Creature seen at a flooded rock quarry near Hampton,41.55965,-90.40675,1969-09-01,24147.0,Class A,9zrsqtxyd0
4452,13,"8 miles south/southeast of Harrisburg, Illinois, 2 miles south of a small burg called Mitchellville, at the edge of the Shawnee National Forest.",Saline County,Illinois,Report 13070: Youth has pre-dawn encounter on the way to deer stand near Mitchellville,37.63,-88.55,2005-11-18,13070.0,Class B,dn9n0frfek
4453,14,"We were in the most remote camp site at Williams Hill Pass, which is the first one nearest the entrance.  The park is bordered by a National Forest, the name of which eludes me at the moment.  It may be the Shawnee National Forest.",Saline County,Illinois,Report 14802: Possible vocalizations heard by camper near Williams Hill Pass in the Shawnee National Forest,37.61404,-88.50061,2006-05-29,14802.0,Class B,dn9jfp7vdm
4454,15,"[Editor note: Directions were removed, but the location is in the .]",Saline County,Illinois,,,,,25362.0,Class A,
4455,16,North of Buckhart on Young Road.,Sangamon County,Illinois,Report 28545: Man tells of the strange occurrences and his sighting as a teenager near Buckhart,39.7721,-89.4691,1976-09-18,28545.0,Class A,dp06k0696b
