index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
4346,0,"This incident occured on ""Youth Camp Road"" around the Bartholomew/Brown county line west of Columbus, Indiana.  ""Youth Camp Road""  is about 4 miles south of State Road 46 that connects Columbus to Nashville,  Indiana. Columbus is about 6 miles east of the sighting.",Bartholomew County,Indiana,,,,,2457.0,Class B,
4347,1,Just outside Westfield on Carey Road.,Hamilton County,Indiana,Report 10538: Youths have daylight sighting near Westfield,40.0403,-86.1084,1973-07-10,10538.0,Class A,dp4gb91g8u
4348,2,it was in a woods at the end of 12th street that is no longer there,Grant County,Indiana,Report 26587: Woman recalls afternoon sighting near the outskirts of Marion.,40.54919,-85.69739,1975-07-15,26587.0,Class A,dp5n9vv04h
4349,3,2 miles S/E of Perrysville in Fountain County Indiana. Along Silver Island Road near Wabash River ,Fountain County,Indiana,,,,,2462.0,Class B,
4350,4,"Spotted at foot of second driveway after RR tracks going up ""Edwardsville Hill"" (old SR 64 West).",Floyd County,Indiana,,,,,292.0,Class A,
4351,5,,Elkhart County,Indiana,,,,,23734.0,Class B,
4352,6,"Wooded suburban,rural area north of city of Evansville,In. Area bordered by Evergreen Rd., Darmstadt Rd., Old State Rd., & Wortman Rd.",Vanderburgh County,Indiana,,,,,2472.0,Class A,
4389,7,,Floyd County,Indiana,Report 29386: Friends experience possible intimidation outside of Greenville,38.39027,-85.95914,2010-10-05,29386.0,Class B,dnff7uwrwc
4390,8,"Indiana, Fountain County, 8 miles northeast of Attica",Fountain County,Indiana,,,,,2464.0,Class B,
4391,9,,Hamilton County,Indiana,Report 6094: Child has sighting in cornfield near Sheridan.,40.18,-86.1512,1973-09-08,6094.0,Class A,dp4sxdd97w
4392,10,(edited),Bartholomew County,Indiana,,,,,4466.0,Class A,
4393,11,"I live out on 500W in a wooded forest area,and farm land. About 10 miles from Columbus.",Bartholomew County,Indiana,Report 15119: Possible indicative sounds heard near Camp Atterbury Military Reservation,39.2152,-86.05825,2006-07-06,15119.0,Class B,dnfz1dym17
4644,12,,Wells County,Indiana,Report 15926: Possible vocalization/intimidation at Ouabache State Park,40.7219,-85.5045,1990-07-01,15926.0,Class B,dp5pwm1w28
4645,13,"US 4o to Salisbury road south, approximately 5 miles down Salisbury road in the woods located on the  west side of Salisbury road south.  We still do a lot of camping in this area and have never heard the noise since.",Wayne County,Indiana,,,,,2168.0,Class B,
4646,14,"around 1.5 miles south of South Boston or S. Rd. 160. From Mulls store go up the big hill, turn left at the first turn. About 1 mile turn left again and park at the bottom of the hill near the creak before the turn. facing north the sound came from a briary grown up area that has since been buldozered out.",Washington County,Indiana,,,,,874.0,Class B,
4647,15,,Warrick County,Indiana,Report 14336: Old newspaper article (The Hammond Times) mentioning sightings near Boonville,38.01,-87.3203,1937-08-16,14336.0,Class A,dncbhzx239
4648,16,"Take I-64 to wheatonville rd and cross on to North road, you see a bunch of trucks parked on the side of the road, the incident happened about 5 miles into the woods.",Warrick County,Indiana,"Report 15374: Possible vocalizations outside of Elberfeld, Indiana",38.1579,-87.41805,2006-07-02,15374.0,Class B,dncc4f2jgu
4649,17,near North Cave River Valley Rd and West Cave River Valley Road,Washington County,Indiana,Report 25793: Campers have campsite visitor on two separate occasions near Campbellsburg,38.6899,-86.25349,1997-08-01,25793.0,Class A,dnfsj721h0
4650,18,"From SR 135, go to Dutch Creek Rd and from there, turn on to Falling Creek Rd.",Washington County,Indiana,Report 10678: Youth has daylight sighting near New Pekin.,39.4862,-86.161,1999-06-12,10678.0,Class A,dp48xk5rz1
4651,19,"Fredricksburg,IN",Washington County,Indiana,Report 14845: Possible vocalizations heard near Fredericksburg,38.43235,-86.19055,2006-05-30,14845.0,Class B,dnfdwsmuwt
4679,20,Close to Newport Chemical Depot,Vermillion County,Indiana,,,,,1790.0,Class A,
4680,21,Going West on 200 South from Lafayette. To the Wabash River. Go to the end of the road and Turn Left down the gated Mud path 2.25 miles South,Tippecanoe County,Indiana,Report 27976: Strange vocalization heard while calling for a kitten on the Wabash River,40.38335,-87.0796,2010-07-10,27976.0,Class B,dp4jdrwd46
4681,22,"1/2 mile north of the Glendora Road Lake Sullivan causeway, near Sullivan, Sullivan County, Indiana, USA.",Sullivan County,Indiana,,,,,2470.0,Class B,
4682,23,,Steuben County,Indiana,,,,,38309.0,Class B,
4683,24,My house is about 7 miles away from Notre Dame,St. Joseph County,Indiana,,,,,1786.0,Class A,
4684,25,"As you travel south on highway 131 from Gentryville, you will hit a curve that turns east from an intersetion with a highway that comes from boonville, IN.  At a sharp curve back to the south towards Chrisney, IN, you turn off to the east and follow a one lane country road east to an T intersection with a another country road.  You will be about 1/4 mile off 131.  Then you turn left on this gravel road and head north.  You will see the old barn and farmhouse just to your right.  Today a cell tower stands on the property which makes it easy to spot and identify.",Spencer County,Indiana,,,,,6534.0,Class A,
4685,26,Smithland road in southern Shelby county. It was at a ninty degree turn in the road where I think it changed from East to North direction.,Shelby County,Indiana,Report 10153: Motorist has nighttime sighting of animal in soybean field near Flat Rock,39.365,-85.8486,2005-01-23,10153.0,Class A,dnfzyqnvwx
4686,27,"take I-65 to Austin IN go west on 256 turn left on Boatman Rd turn right on York street, fallow the road till it turns into gravel and then dead ends at the river in the middle of a field. It is the deep in the woods on the right",Scott County,Indiana,Report 24862: Experienced bow hunter recalls being scared by an unknown scream/howl near Austin,38.73725,-85.84489,1992-10-20,24862.0,Class B,dnfuqecsv4
4687,28,It was at Glen Flint Lake.  The area where the sounds came from were at the end of the cove we were in straight out from the boat ramp to the left before you get into the main lake area.,Putnam County,Indiana,Report 25869: Fisherman hears strange grunts and moans near Glenn Flint Lake,39.72848,-86.93636,2006-08-01,25869.0,Class B,dp44j8qg5v
4688,29,"All the sightings were near the Dentwood cabins, right off River Road, just outside of Winamac.",Pulaski County,Indiana,Report 9245: Family has several sightings at a summer cabin near Winamac.,41.062,-86.5945,2005-01-22,9245.0,Class A,dp63t7pg3z
4689,30,"Hoosier National Forest, Patoka Lake State Recreation Area, Birdseye, IN, Bristow, IN, English, IN, Leopold, IN, intersections of State Highway 37 and Interstate 64",Perry County,Indiana,,,,,2469.0,Class B,
4690,31,About 3 to 4 miles south of the Turkey Run State Park & School on Hwy 41.,Parke County,Indiana,Report 19588: Nighttime sighting by motorists near Turkey Run State Park,39.8679,-87.23335,1997-10-01,19588.0,Class A,dp1fycwx7e
4691,32,Within Boundries of Wolf Cave Nature Preserve at McCormick's Creek State Park near Spencer Indiana.,Owen County,Indiana,,,,,2468.0,Class B,
4692,33,,Morgan County,Indiana,,,,,2406.0,Class B,
4693,34,Interstate 74 runs from Indianapolis head west to the Crawfordsville exit and head south. Take highway 47 to 234 and head west about 5 miles and you will see the Shades sign.,Montgomery County,Indiana,Report 27274: Possible vocalizations heard near Shades State Park,39.9347,-87.08955,2009-07-01,27274.0,Class B,dp454jzk6r
4694,35,,Monroe County,Indiana,Report 21821: Daytime Sighting by Caver West of Lake Monroe,39.01166,-86.57665,1979-11-01,21821.0,Class A,dnfmvvug3u
4695,36,stinesville go north on gravel road to 3/4s of mile where old road bridge used to be. Turn right thru dirt in field go as far as you can then walk another mile or so.,Monroe County,Indiana,,,,,1440.0,Class B,
4696,37,Hindustan is the nearest village (only a few homes and small church) perhaps 3-4 miles away on Old 37. The town of Martinsville is about 5 miles to the north and the town of Bloomington is about 15 miles to the south. This incident took place in the Morgan-Monroe State Forest on the Main Forest Road about 1 or 1.5 miles east of the forest entrance that is off of the State Road Old 37.,Monroe County,Indiana,Report 24815: Man recalls his observation of a creature crossing a road while hunting in the Morgan-Monroe State Forest,39.32117,-86.46065,1988-11-30,24815.0,Class A,dnfx8w1q2v
4697,38,,Monroe County,Indiana,,,,,354.0,Class A,
4698,39,I'm estimating we were about 4-5 miles deep on the grub ridge loop trail (if you enter from the grub ridge trail head). We were relatively close to the south bank of Lake Monroe (about a half a mile away). We had hiked for about 3-4 hours.,Monroe County,Indiana,Report 29674: Possible encounter while backpacking in the Hoosier National Forest,39.04744,-86.38894,2006-10-01,29674.0,Class B,dnfw4hm7zf
4699,40,Bloomington location removed per witness,Monroe County,Indiana,,,,,25658.0,Class B,
4700,41,back on windie roads if not fimiliar with the area it will be very dificult to find.,Monroe County,Indiana,"Report 28861: Loud, early morning vocalizations heard by duck hunters near Lake Monroe",39.02502,-86.49139,2009-10-22,28861.0,Class B,dnfqpb6chw
