index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
3509,0,north of Edwardsville south of I 70,Wyandotte County,Kansas,Report 47651: Witness hears possible whoops and chatter behind his home north of Edwardsville,39.3985,-94.4955,2014-12-17,47651.0,Class B,9zhb1sq2zk
3510,1,if you leave out of neosho falls past the park heading north to leroy it winds back and forth a couple times. The last turn to the right/north there is an old bridge there.,Woodson County,Kansas,Report 62352: Group of fisherman with a possible sighting of whitish/grey creature outside Neosho Falls,38.176,-95.3465,2017-04-17,62352.0,Class B,9yu1nmdz3d
3511,2,Not sure if it was in Sedgwick or Sumner County.  I'm pretty sure that I could find the location again even though it has been several years.,Sumner County,Kansas,Report 40035: Memory told of a dusk sighting as a passenger in traffic on I-35 outside Wichita,37.3444,-97.1953,2003-11-15,40035.0,Class A,9ydukq2dck
3512,3,"I-35, Under an overpass wherein the very next (southbound exit) has a convenience store and tow-truck station (east side of I-35)",Sumner County,Kansas,Report 7709: Close roadside encounter of juvenile biped animal near South Haven,37.0581,-97.3374,2005-01-27,7709.0,Class A,9ydfc41p44
3513,4,"K-7 / US 73 Highway runs north and south along the Leavenworth/Wyandotte county line.  Closest intersection is Donahoo Road, or a mile and a half north of the traffic light at Leavenworth Road.",Wyandotte County,Kansas,Report 48012: Retired cop sees a large hairy biped dash right in front of his car near Kansas City,39.8595,-94.54,2015-02-10,48012.0,Class A,9zhfb8nn6m
3525,5,Just past Fleming Foods and Payless Shoes Distribution Center.,Shawnee County,Kansas,Report 12067: Youth has sighting while fishing on Kansas River near Topeka,39.072,-95.747,1978-07-08,12067.0,Class A,9ygym0z4vh
3526,6,"USA, Kansas, Sedgwick,wichita,hoover and k42. 1/4 miles south. In the ""Big ditch"".",Sedgwick County,Kansas,Report 1326: Early morning sighting by a hunter,37.64103,-97.40294,1975-11-15,1326.0,Class A,9ydwps36fu
3527,7,,Rooks County,Kansas,Report 47267: Motorists observe a tall white/grey biped and red eyes north of Hays,39.1062,-99.26195,2014-11-14,47267.0,Class A,9ycqmppdhu
3528,8,,Riley County,Kansas,Report 1315: Couple reported being stalked while walking along a dark country road.,39.1463,-96.8223,2001-01-18,1315.0,Class A,9ygnsy25sz
3529,9,"It is about 15 miles north on Plum street from Hutchinson Ks,  Then about 3 miles west.",Rice County,Kansas,Report 38362: Possible encounter by turkey hunters entering their blinds near McPherson,38.1814,-97.56185,2009-04-15,38362.0,Class B,9yf95ytwu0
3530,10,THIS WAS APPROXIMATLEY 5 MILES EAST OF Pratt Walmart on the south side of the road crossing the dirt road.,Pratt County,Kansas,Report 35828: Two sightings within a week of each other east of Pratt,37.56279,-98.42924,2012-06-29,35828.0,Class A,9ydj8nn507
3531,11,,Ottawa County,Kansas,Report 32256: Soldier on leave has a daylight sighting while fishing near Bennington,39.7273,-97.34005,2011-05-05,32256.0,Class A,9z4f0bphk3
3532,12,The town of Scrantons old water supply. It used to be called Scranton Lake. East of the City of Scranton. I believe the Lake is now privately owned.,Osage County,Kansas,Report 26790: Fisherman has night time sighting along dirt road east of Scranton Lake.,38.76635,-95.70296,1984-08-15,26790.0,Class B,9yguw1pnr7
3533,13,"The location is a tributary creek that flows into Lake Parsons, and can be accessed by turning south of Galesburg, KS for two miles, then back west about one half mile to the creek bridge.",Neosho County,Kansas,"Report 113: Son and friend find footprints. Later something stalks them along riverbank, incident retold by his father",37.44208,-95.35479,1975-10-01,113.0,Class B,9ysjn0hgbm
3534,14,the road is called Dunlap road and the creek is called Big John I am not sure who the corn field belongs to.,Morris County,Kansas,Report 25860: Early morning driver spots bipedal animal eating corn near Little John Creek near Dunlap,38.62563,-96.44296,2009-08-10,25860.0,Class A,9yg7trs6s5
3535,15,,Montgomery County,Kansas,"Report 1332: newspaper article about a sighting by a jogger. Later, a sherif deputy found a track at the scene of the incident.",37.192,-95.7455,1977-11-25,1332.0,Class A,9yegt68705
3536,16,there were two large long corn fields and a small lake was close. i forgot the sign after we got past the ball of twine.,Mitchell County,Kansas,Report 59633: Two motorists (female) report road crossing Sasquatch on Interstate 24 among cornfields right outside Cawker City famously known for the 'The World's Largest Ball of Twine',39.30595,-98.2833,2017-08-31,59633.0,Class A,9yfpee2mc0
3537,17,"Paola, Kansas",Miami County,Kansas,"Report 1314: Large, dark figure seen standing down by the mailbox.",38.6234,-94.6837,1998-10-15,1314.0,Class A,9yuetrjmtg
3538,18,after the s curve and before Dutch Ave intersection,McPherson County,Kansas,Report 44721: Motorist nearly collides with a large white animal at night near McPherson,38.19744,-97.41755,2014-03-29,44721.0,Class A,9yf9r1wsnw
3539,19,The tracks were found in the refuge area along the river. The sighting was along the river near the building (cac).,Leavenworth County,Kansas,Report 7558: Military police find tracks at Ft.Leavenworth,39.3716,-94.9,2005-01-08,7558.0,Class B,9yuxbrrujw
3540,20,,Labette County,Kansas,"Report 1312:  Chief of police in Chetopa finds two and a half miles of tracks that measured 17 inches in length, 5 5/8 in width. Thousands of curious people came out to look at the tracks. The incident was reported on the local TV news",37.0504,-95.0802,1978-02-23,1312.0,Class A,9ys6u2udnz
3541,21,The cabins next to the neosho river which we use for fishing approximately 7-9 months of the year.  Specific directions omitted upon the submitters' request.,Neosho County,Kansas,,,,,27779.0,Class B,
