index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
3508,0,Thousands of acres.absolutely tons of deer coyotes foxes coons just too much wildlife too mention. Plenty of water sources and tons of mountains.,Whitley County,Kentucky,Report 32377: Father and son have possible encounter in a deer blind near Woodbine,36.8817,-84.0821,2010-11-14,32377.0,Class B,dns1ydj73p
3556,1,"Right below Uniontown Dam on the Ky bank. There is a dike just below the dam, the sighting happened there.",Union County,Kentucky,Report 11998: Woman in parked car has nighttime sighting along the Ohio River,37.75972,-87.96916999999998,1996-11-15,11998.0,Class A,dn9qy1yy3c
3557,2,,Trigg County,Kentucky,Report 12641: Mussel poachers have night time encounter near Lake Barkley.,36.82806,-88.15556,1996-10-15,12641.0,Class A,dn939br4fx
3558,3,"Our property was located off of Spurlington Road, very near the Pittman Valley area of Taylor County.",Taylor County,Kentucky,Report 3269: Matching vocalizations heard a decade apart,37.41098,-85.26247,1978-08-17,3269.0,Class B,dnekgf3yb2
3559,4,I 65 S left on 100 4th rd to right go to stop sign take a left there is a bridge and thats where it was to the left of the bridge is where we were.,Simpson County,Kentucky,Report 26173: Daylight sighting while riding a 4-wheeler near Franklin,36.68937,-86.45915,2007-08-15,26173.0,Class A,dnd88x475f
3560,5,"Jacksonville,outside of Bagdad, KY in north Shelby county",Shelby County,Kentucky,Report 36230: Hunter gets investigated while in his blind outside Bagdad,38.24361,-85.03827,2011-11-20,36230.0,Class B,dng98fj10t
3561,6,[Daniel Boone National Forest; not far from Cave Run Lake],Rowan County,Kentucky,Report 24674: BFRO Investigator videotapes encounter in Daniel Boone National Forest,38.05703,-83.46259,2008-06-14,24674.0,Class A,dnu8sb06k8
3562,7,"From Lexinton, take I-64 east until you reach the Mountain Parkway, from there just follow the signs to Slade. At Slade take Ky highway 11 2 miles to the park.",Powell County,Kentucky,"Report 912: While observing a footprint,  youth looks off the path to see shiny haired creature looking at him",37.7764,-83.67952,1978-08-15,912.0,Class A,dnsqzufrmz
3563,8,"My parents live in Pike County, KY close to the West Virginia border (Tug River).",Pike County,Kentucky,Report 30814: Possible encounters at a home located on a steep hillside near Ransom,37.31413,-82.13403000000002,1967-01-15,30814.0,Class B,dnts6bzfd3
3564,9,Vicinity of a place called Kimper.,Pike County,Kentucky,Report 4624: Two teens find prints in the snow near Kimper,37.49993,-82.353,1992-12-25,4624.0,Class B,dntmq48kuj
3565,10,from Pikeville travel US460 east straight stretch one mile past Chloe redlight,Pike County,Kentucky,Report 27941: Man recalls his early morning sighting driving to work near Chloe,37.42701,-82.48093,1994-04-18,27941.0,Class A,dntkgj7hph
3566,11,"Near Virgie Kentucky, nearest road is 1469,  on an old auger mining road less than 10 miles North east of the Jefferson National Forest",Pike County,Kentucky,Report 2435: Several people witness 7 to 8 foot tall creature on an old mining road,37.26532,-82.69575999999998,1994-10-15,2435.0,Class A,dnt5ypyy1p
3567,12,over looking the town of pikeville,Pike County,Kentucky,Report 28575: Bipedal creature observed on a cliff outside Pikeville,37.47975,-82.5183,2005-04-15,28575.0,Class A,dntm4qbp25
3568,13,The location is in what used to be called xxxxx  Branch.  The main hollow is now being filled with dirt in the making of US 460.,Pike County,Kentucky,,,,,34502.0,Class A,
3569,14,Travel about 1 to 2 miles out of Stanton before you get to the dump.In the elbow of the river. (This is the Red River- T.G.),Powell County,Kentucky,Report 8517: Pedestrian has nighttime sighting along the Red River,37.82708,-83.81139,2004-04-20,8517.0,Class A,dnsrhy4qtn
3570,15,"I'm not sure which county we were in, we were far out in Red River Gorge camping alongside a creek. We followed a gravel road quite a ways down before stopping to camp.",Powell County,Kentucky,Report 24948: Campers experience possible harassment all night in the Red River Gorge,37.83438,-83.69043,2008-10-22,24948.0,Class B,dnsrpxd3px
3571,16,I would have to talk with someone to explain because it's way out in the country. It's on upper Cane Creek in Stanton KY so its easy to  Google.,Powell County,Kentucky,Report 50746: Possible aggressive behavior at new rural cabin site near Stanton,37.53918,-83.46014,2015-12-22,50746.0,Class B,dnstscf1tf
3572,17,When you reach the city of Morehead KY stay on us 60 East going out of town like your going to Grayson,Rowan County,Kentucky,Report 38122: Nighttime sighting outside a residence north of Hayes Cemetery near Grayson,38.2592,-83.41507,2012-12-08,38122.0,Class A,dnu9tufgzz
