index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
3507,0,about 2 miles behind my old home place on bayou bodcaw,Webster Parish,Louisiana,Report 23227: Daylight sighting by squirrel hunter outside Sarepta,32.895,-93.45,1971-11-12,23227.0,Class A,9vve1krg30
3514,1,THIS HAPPENED ON LAKE BISTINUE NEAR STATE PARK NUMBER 2.,Webster Parish,Louisiana,Report 23882: Woman recounts incident involving her father near town of Doyline on Lake Bistinue,32.45763,-93.36627,1976-07-14,23882.0,Class B,9vv8eksz2h
3515,2,"Lake Bistineau, outside of Shreveport near a town called Koran, not far from Houghton",Webster Parish,Louisiana,"Report 1516: Unknown animal with loud scream visits lake front home, frightens dog; something heavy is heard walking in the water",32.4197,-93.4386,1979-06-15,1516.0,Class B,9vv83vb46y
3667,3,,Washington Parish,Louisiana,"Report 25548: A hunter recalls finding giant footprints as a boy, and recently heard a strange vocalization while hunting hogs late at night on the outskirts of Varnado",30.85052,-89.81163000000002,1991-06-01,25548.0,Class B,dj2ps21jm3
3668,4,In a wooded area just outside of a housing complex for military residents and their families of Fort Polk (near Leesville),Vernon Parish,Louisiana,"Report 1502: Five year old boy approached by a large, bi-pedal animal covered in dark hair",31.1458,-93.2512,1979-07-15,1502.0,Class A,9vt9njbt3t
3669,5,Approximately 7 miles north of Farmerville just off Hwy 15 on an old logging road,Union Parish,Louisiana,"Report 1501: Two witnesses see a large, black creature while loading firewood on a truck",32.8057,-92.40895,1977-11-15,1501.0,Class A,9vy69hjg53
3670,6,in a subdivision called Sherl's meadows.  It was just being developed and it was in an area by an old cattle crossing bridge over a bayou called yellow water creek,Tangipahoa Parish,Louisiana,,,,,2764.0,Class A,
3671,7,"In the area of Louisiana known as Honey Island Swamp. I was told this by my stepfather and stepbrother.  They lived near this area before we met.  The sighting was beside a river that runs through the swamp, I do not recall the name of it, maybe you know.",St. Tammany Parish,Louisiana,,,,,1498.0,Class B,
3672,8,The location of the woods off the Texas Highway is directly behind the Fair Grounds in Leesville. About a 45 minute walk into the woods.,Vernon Parish,Louisiana,Report 7236: Pre-teens encounter 2 ape like creatures while exploring the woods,31.14195,-93.2952,1980-07-05,7236.0,Class A,9vt9jj0x02
3678,9,,St. Landry Parish,Louisiana,Report 48665: Woman has clear daytime view of a large Biped,30.74715,-91.76733,2015-05-11,48665.0,Class A,9vqwzv354h
3679,10,,Sabine Parish,Louisiana,Report 9567: While taking dog outside witness sees large bipedal shadow next to his shed,31.5831,-93.50845,2003-11-12,9567.0,Class A,9vte8jt0zh
3680,11,i would have to show you there are many places along that hwy that are like it but i know it well,Natchitoches Parish,Louisiana,"Report 3631: Late afternoon sighting by motorists, off I-49 20 miles south of Natchitoches",31.6498,-93.0887,1993-03-05,3631.0,Class A,9vtu19wvkn
3681,12,With held for confidentiality,Livingston Parish,Louisiana,Report 12087: Trapper experiences nighttime vocalizations,30.509,-90.6763,1997-01-04,12087.0,Class B,9vrt89gxc1
3682,13,on a pipeline and on a gravel road near Georgetown,La Salle Parish,Louisiana,"Report 1458: A motorist observed a hunched over, brownish-red creature crossing the road #2. Cast made of a 12"" track, only a couple of days old, that was found 1/2 to 3/4 of a mile into the woods by BFRO investigator Scott Kessler",31.6825,-92.3104,2000-04-05,1458.0,Class A,9vwk5rtegy
3683,14,"I haven't lived in that area for over 15 years, and can't remember the highway. However the bayou is named Bayou de Cannes.",Jefferson Davis Parish,Louisiana,Report 7715: Duck hunters have early morning encounter,30.2576,-92.6221,1972-10-14,7715.0,Class A,9vqhhk4xk9
3684,15,,Jefferson Parish,Louisiana,Report 56107: Memory told of a nighttime sighting while working as a police officer answering a prowler call in Marrero,29.5385,-90.593,1970-05-15,56107.0,Class A,9vr84924np
3685,16,"In the swamps around Little River, near Dry Prong Louisiana",Grant Parish,Louisiana,,,,,1456.0,Class B,
3686,17,"Hwy 128 about 1mile east of Jigger, LA. (Specific details left out.)",Franklin Parish,Louisiana,Report 23745: Man recounts boyhood sighting at home near Jigger,32.0131,-91.14448,1980-06-15,23745.0,Class A,9vxnjgy9gd
3687,18,State Line road runs between East Feliciana Parrish Louisiana and Wilkensin county Mississippi State Line Road is a gravel road,East Feliciana Parish,Louisiana,Report 4552: Strange late night sounds heard near Norwood,30.96745,-91.0955,2001-01-28,4552.0,Class B,9vx0pj6q2z
3688,19,The are is full of small streams that flow in to Beaver Creek.,East Baton Rouge Parish,Louisiana,Report 6530: Child has encounter while playing near a creek,30.49905,-91.01565,1982-06-05,6530.0,Class A,9vrm8bhmvd
3689,20,It was in a little community called The Standpipe.  I'm sorry I don't remember anymore than that.,Claiborne Parish,Louisiana,,,,,5021.0,Class B,
3690,21,Louisiana is sportsman paradise on the bayou. We lived worked and played along the river bottoms and  swam in the Gulf of Mexico. It is rich in all types of wildlife and would be the perfect place for a large animal to live with out being notice.,Calcasieu Parish,Louisiana,,,,,23018.0,Class A,
3691,22,"Caddo Parish, Oil City, Louisiana, adjacent to Black Bayou",Caddo Parish,Louisiana,Report 1313:  creature walked directly towards witness.,32.7817,-93.9467,1987-11-15,1313.0,Class A,9vv4qpwp5p
3692,23,,Avoyelles Parish,Louisiana,Report 24413: Woman recounts a tale her Grandfather told her about a frightening incident near Horseshoe Lake,31.087740000000004,-91.84467,1925-10-14,24413.0,Class B,9vw8y52g0n
3693,24,"mcelroy swamp, louisiana  ascension parish ",Ascension Parish,Louisiana,,,,,1282.0,Class C,
