index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
3505,0,The location was on route 610 about 6 or seven mile from route 50,Worcester County,Maryland,,,,,8135.0,Class A,
3713,1,"The area is about six miles west of Hagerstown, MD in Washington Co. MD.  If you take I-70 west from Hagerstown, MD and get off at the Route 63 exit, you then travel north on Route 63 to US Route 40 and travel west until you get to Cedar Ridge Road which will be on your left.  You take Cedar Ridge Road and about a mile back you take a left onto Kemps Mill Road.  The woods is on your right.",Washington County,Maryland,,,,,232.0,Class A,
3714,2,"Laurel, Maryland.  It was sighted off of Rt 198 and I-95 in an area considered West Laurel.  This big foot was sighted by others and has been dubbed locally as the Scaggsville Monster.  (Scaggsville, Maryland about 3 miles to the north of my sighting.)  It has been reported that others in that area had seen it.",Prince George's County,Maryland,,,,,1171.0,Class A,
3715,3,Land is owned by the Monocacy Hunting Club.,Montgomery County,Maryland,Report 10778: Vocals and thrown objects experienced by two friends exploring,39.21564,-77.4608,1994-08-15,10778.0,Class B,dqbzj6fz8t
3716,4,"9922 Windflower Ct, Ellicott City MD 21043",Howard County,Maryland,,,,,1169.0,Class A,
3717,5,"Fallston, Maryland Not far from the Little Gunpowder river",Harford County,Maryland,,,,,1168.0,Class B,
3718,6,The only thing I can remember at this point is that it was The Catoctin Mountain State Park.  I remember that there was a public swimming pool not too far from the cabin.,Fredrick County,Maryland,,,,,6249.0,Class B,
3719,7,near pine forest and creeks,Dorchester County,Maryland,Report 25137: Memory told of a possible late night sighting while driving near Hurlock,38.63295,-75.80465,1999-04-15,25137.0,Class B,dqf5g0btpx
3720,8,I DO NOT WANT THE LOCATION listed as its a sacred area to Native people but I will show you what I have found and seen along with my friend.,Cecil County,Maryland,,,,,45266.0,Class B,
3721,9,described above,Carroll County,Maryland,,,,,231.0,Class A,
3722,10,"Location is ""ruralurbia"" - Carroll county is farm lands interspersed with residential and horse property and also has a fair networking of wooded areas still intact. About 6 miles as the crow flies to the east is Liberty Reservoir, which empties into the Patapsco River. Immediate ""neighborhood"" is mostly large residential and many wooded properties, we ourselves have horses on 17 acres that is 1/2 wooded with a creek bottom and a rather constant deer herd.",Carroll County,Maryland,,,,,37558.0,Class B,
3723,11,,Fredrick County,Maryland,,,,,8451.0,Class B,
3724,12,"Harford County, Maryland, just south of Whiteford on Rt 165.",Harford County,Maryland,,,,,1167.0,Class A,
3725,13,Rte 543 right on Taylor Rd,Harford County,Maryland,Report 31814: Memories told of several incidents including an observation through a rifle scope while target practicing outside Street,39.67183,-76.34047,1993-09-15,31814.0,Class A,dr19wy494j
3726,14,"off of i-95: exit on md route 152 north (fallston/joppa) towards fallston. travel north for approx. 10-15 minutes. cross bel air rd then harford road. take the next left onto old fallston rd. follow 1 mile or less to laurelbrook rd. make left onto laurel brook. follow to bottom rd. when on bottom road pass road with bride on right, at the turn in the road is a pull off immediately afterwards. this is where the incident occured. this location is in small valley. almost like a gorge. a tight turn to the left in  the dirt road is where the pull off is. a pond like bend in the stream is on the right side of the road with what forms a 100 ft by 5 ft stoney beach of sorts. some large boulders between the road and stream. on the left of the road is a cut out embankment about 4 or 5 feet high. then a steep hill rises about 100 yds up gaining roughly 3 feet higher per 2 foot of distance. very steep. covered with middle aged trees, bushes and alot of leaves/old brush.some rocks jutting out here and there.the road is almost level around the bend, coming off a hill and going back up a mild grade continuing away.a unique, cozy little area with just enough tall trees to feel like your out in the middle of nowhere withlarge fields on the other side of the trees on the oppsing shoreline of the stream.",Harford County,Maryland,,,,,329.0,Class A,
3727,15,"Harford County, MD. Kingston/Fallston Belair Road.",Harford County,Maryland,,,,,1166.0,Class B,
3728,16,"Well it was heard from our house in Pleasant Hills, MD where some strange thing had been going on a few months earlier, but the noise was coming from about a good 1/4 mile away or less at the power lines just west from the Jerusalem mill which is on Jerusalem Rd. and can be reached just off of MD Rt.1 and Mountain Rd.",Harford County,Maryland,,,,,7651.0,Class B,
3729,17,"Frederick, MD. Little Bennett camp ground.",Montgomery County,Maryland,,,,,1170.0,Class A,
3730,18,Outside of living room window of single family home.,Montgomery County,Maryland,Report 46620: Possible nighttime sighting through a living room window near Potomac,39.06392,-77.2948,2014-03-15,46620.0,Class B,dqcn1p7eud
