index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
3503,0,"near  Gay, Michigan",Keweenaw County,Michigan,Report 3388: Father and sons hear screams while deerhunting near Gay,47.232,-88.16360999999998,2001-11-15,3388.0,Class B,f03k9y34qf
3760,1,South of 46rd. Between 17rd and 21rd.,Wexford County,Michigan,Report 26196: Possible intimidation experienced by two bow hunters near Cadillac,44.16985,-85.63835,2000-10-01,26196.0,Class B,dpg572bh1b
3761,2,,Wayne County,Michigan,,,,,48824.0,Class B,
3762,3,"From Google Earth: 42°14'20.36""N 83°40'10.55""W",Washtenaw County,Michigan,Report 24620: Man recalls family experiencing possible intimidation near Ann Arbor,42.2375,-83.67,1974-07-30,24620.0,Class B,dps8211778
3763,4,"kingston michigan, tuscola county",Tuscola County,Michigan,,,,,823.0,Class B,
3764,5,"Crossing the Rail Road Tracks from South to North. 45 degrees,58 minutes,12 seconds North X 86 degrees, 07 minutes, 03 seconds West. The best way to get there NOW is to take US-2 East of Manistique, Mich to Duck Inn Road. About 1/2 Mi down duck Inn Rd turn right on to Michibay Dr.  Just before reaching the Lake turn Left (east)on Michibay Shores Rd. Go down 2.5 mi. to Marblehead Creek.  There always used to be a well beaten path along the west side of the Creek (from the kids fishing the spring fish runs). Take the path North until you reach the Rail Road tracks.  That's where ""it"" Crossed the tracks.  NOTE: When this happened Michibay Shores Rd didn't exist.  There was only the RR between Duck Inn Rd and the Lake.",Schoolcraft County,Michigan,Report 24238: Man recalls multi-witness sighting in teen years near Manistique,45.964,-86.1437,1962-04-01,24238.0,Class A,f04trz2pdq
3765,6,,Sanilac County,Michigan,"Report 815: Witness observes strange ""monkey-like"" animal from bedroom window.",43.26806,-82.53083000000002,1987-08-15,815.0,Class A,dptq1uwysq
3766,7,Not sure of the county.Michigan's U.P. M-28 east of Munising.,Schoolcraft County,Michigan,Report 20457: Nighttime sighting by Air Force personnel near Seney National Wildlife Refuge,46.34575,-85.95865,1977-01-01,20457.0,Class A,f04zeuyzd3
3767,8,"I don't know if this little roadside picnic area still exists, but it did for at least another five years.  It was just a picnic table and trash can on the north side of the highway surrounded by thick woods.",Schoolcraft County,Michigan,,,,,2554.0,Class A,
3768,9,"Approx. 2 miles south of Shingleton on M-94 and 4 to 5 miles west.   (Hiawatha National Forest, northeast section)",Schoolcraft County,Michigan,Report 22973: Young ape-like creature seen squatting on a tree limb near Shingleton,46.3126,-86.5228,1993-06-07,22973.0,Class A,f04rrnun2w
3769,10,Second high bank on the Manistique River Road.,Schoolcraft County,Michigan,Report 24127: Partridge hunter has a daylight sighting while driving from Germfask,46.18968,-85.97613,2002-09-15,24127.0,Class A,f04yg8d46u
3770,11,Betwen Gulliver Lake and Lake Michigan,Schoolcraft County,Michigan,Report 17939: Possible stalking of two people walking in the early evening near Lake Michigan and Gulliver Lake (Upper Peninsula),45.9796,-86.0221,2006-07-11,17939.0,Class B,f04vdd2def
3771,12,Pine Marten Run Trailhead @ County Rd 440 Area and the footprint was found at a small lake (Schoolcraft County),Schoolcraft County,Michigan,Report 20043: Possible footprint and chatter outside Wetmore,46.159,-86.611,2007-06-01,20043.0,Class B,f04qt4gz9m
3772,13,28 miles north of Manistique off Hwy 94,Schoolcraft County,Michigan,Report 31025: Close encounter by a hunter tracking his dogs at night outside the Seney National Wildlife Refuge,46.19183,-86.21193000000002,2010-08-15,31025.0,Class A,f04wy0yqum
3773,14,,St. Clair County,Michigan,,,,,821.0,Class A,
3774,15,"united states michigan stclair county goodells hwy 21 and rabbidue rd ok well this is to help you out and if im contacted i will get you in touch with the other two individules that wittnessed the incident. this occured in october of 1988 in st.clair county michigan, near mich. hwy 21 and rabidue rd. neer goodells mi. two friends and i wher out in the state forest in october for deer hunting season. we wher camping out on a ridge about 1 mile from the junction of the two roads i mentioned. it was dark, and we wher sitting around our fire talking. we all heard something walking the low side of the ridge along the north side by the pine river about 40-50 yds distant. it was heavy, and methodical in its movement. it didnt really waver and never triped over all the branches brush and undergrowth along the stream. it circled to the east then we heard a piercing screem. we all froze and began to regain our thoughts. we decided it was someone trying to scare us. during this time the creature in question moved to the south slope of the ridge and was no more than 20 yards distant. we had no view of anything as haveing all just rose from the fire we couldnt see to far into the woods. dan yelled out that we all had weapons and the joke was up but if the individule didnt show themselves we would shoot in its direction. the next we heard was a loud high pitched screem and a tree falling. we all retreated to the fireside again and as we did something very large passed us just beyond the fire light and was running faster than us with long strides we could hear the footfalls and it tore through the forest knocking down small sapplings and dead branches as it went. if you know how in the woods at night sound travels, just imagine our surprise when we judged its speed by the length of time it took the sound to fade to nothing. it was no more than 15-20 seconds. after a short time we got our nerve up again, and took flashlights to wher the sound of the tree falling came from. to our surprise we found a tree about 6-8 inches in diameter snapped like a toothpick, about 8 1/2 feet up. we returned to camp and decided to stay by the fire and leave at daybreak for the road, even though only 1/2 mile or slightly more , it was dark we couldnt see too well and whatever it was could see real well. that night as the fire died several times we could make out a large outline shadow about 10-15 yards beyond the good light watching us at one point it aproached a view steps and when we all moved to reach for weapons it retreated into the dark and reapeard off to the side . this went on all night. the next day we left and that night discussed it with dan's father whom informed us something had been watching him while he sat in his tree stand, and he heard strange squeels and hoots in the distance of the valley. a week later we again returned to our camp, this time the thing only circled us, we experienced this throughout the deer season, and once we were able to see something crowched over in a squatting position, watching us as we watched it we could get the outline and tell it had dark black like hair or fur, it used its hands as we do to steady itself, and its eyes glowed yellowish in the light not green or red like so many wild animals do. this continued for about 2-3 months, and then stopped. i havent been out there in several years but if sasquatch wanted a place to live in that area of michigan, beards hills is ideal. it has hills ridges swamps water and many things and places to stay deep enough to not be found this area is forested from yale area all the way to lexington mi. by lake huron. thank you for your time and as i said i can get you in touch with the two other wittnesses if you want them to confirm this we told only close friends for fear of being thought of as a bunch of young liars, we wher only 18,19, and 20 at the time.",St. Clair County,Michigan,,,,,822.0,Class A,
3775,16,"Thumb of Michigan.  On (edited), just north of Marlette Road.",Tuscola County,Michigan,"Report 5321: Having morning coffee and looking out the window, man sees tall black ""ape"" walking in his woods.",43.41444,-83.18583000000002,1999-02-15,5321.0,Class A,dpsygp3gmw
3776,17,North of Willis Rd between McKean and Bunton roads,Washtenaw County,Michigan,Report 8351: Father describes possible late night vocalizations heard by his boys near Willis,42.15965,-83.55718,1999-06-19,8351.0,Class B,dpkxfdgtb8
3777,18,(edited),Washtenaw County,Michigan,"Report 3007: Bare, wide footprints seen in the mud of a February thaw",42.285,-83.59014,2001-02-15,3007.0,Class B,dps89cexbx
3778,19,(edited),Washtenaw County,Michigan,Report 2953: 2 witnesses see a BF at night in the headlights,42.30472,-83.60472,2001-08-07,2953.0,Class A,dps89t2fug
3779,20,(edited),Washtenaw County,Michigan,Report 8389: Young man sees strange animal running down road under streetlight.,42.40611,-83.58,2004-03-27,8389.0,Class A,dps94pfckz
3780,21,There are a lot of woods and farm fields around.  The closest house was probably one-third of a mile away.,Washtenaw County,Michigan,Report 9544: Loud vocalization heard near gravel pit,42.36639,-83.86097,2004-08-31,9544.0,Class B,dps358w61g
