index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
3502,0,"Big Marine Lake, about two miles west of Cory's Swamp.",Washington County,Minnesota,,,,,1081.0,Class A,
3968,1,4-5 miles north of wadena and 1 mile west of hwy 71.,Wadena County,Minnesota,Report 25323: A family is chased by a sasquatch near Wadena.,46.50385,-95.11484,1992-08-15,25323.0,Class A,cbk2e9g2x9
3969,2,,Todd County,Minnesota,Report 24794: Man tells of a possible nighttime encounter while burning garbage near Long Prairie,45.95602,-94.87069,1989-04-22,24794.0,Class B,cbht3nj30x
3970,3,"Location on Map: 45.738709, -94.257033",Stearns County,Minnesota,Report 58895: Nighttime sighting by a motorist near the city of Rice,45.8,-94.27725,2018-03-17,58895.0,Class A,cbhuw9tkkf
3971,4,"Warroad, Minnesota county of Roseau on Highway 11 Near Swift, Minnesota.",Roseau County,Minnesota,,,,,1060.0,Class A,
3972,5,,Pine County,Minnesota,,,,,3801.0,Class A,
3973,6,This took place in the aspen woods about 15 road miles NW of Middle River MN.  Just N/NE of an area known as Nelson's Slew.  It was a Wildlife Management Area of the MN Dept. of Natural Recourses.,Marshall County,Minnesota,Report 23367: Hunter has a close but brief encounter in a hazelnut bog near Middle River,48.52579,-96.28425,1978-11-04,23367.0,Class B,cbes0czgnq
3974,7,,Lake Of The Woods County,Minnesota,,,,,3227.0,Class A,
3975,8,North of what is now the airport.,Pine County,Minnesota,Report 27028: A man is woken by a whoop near his home and a few months later sees an upright creature run past his barn,46.02361,-92.88618,2004-06-01,27028.0,Class B,cbjvy666gn
3976,9,South of Sturgeon Lake,Pine County,Minnesota,Report 17900: Possible daylight sighting by motorist on a gravel road south of Sturgeon Lake,46.3725,-92.83521,2007-02-23,17900.0,Class B,cbjzz3z7qu
3977,10,About a mile south of Sturgeon Lake,Pine County,Minnesota,Report 19655: Possible vocalizations south of Sturgeon Lake.,46.3666,-92.84309,2007-06-10,19655.0,Class B,cbjzz2c9p0
3978,11,"North of Badger, MN approximately 5 miles on County Road 3.",Roseau County,Minnesota,Report 42596: Possible daybreak sighting by a motorist in farm country north of Badger,48.8572,-96.0073,2013-04-09,42596.0,Class B,cbetzq1tgf
3979,12,"All that I remember now was that it was about 5 miles or so northwest of the Mouth of Big Sucker River on the North Shore of Lake Superior. An unmarked logging trail off a secondary road that I can't remember. I know the general area but not the specific road. I lived in the area close by for about one and a hlf years while I was station at Duluth Air Base [NORAD Regional Control Center, SAGE] from 1970-72. I was born and raised in rural Coleraine-Bovey area in Itasca county and I consider myself a very stable and reliable witness. I had a Top-Secret clearance.",St. Louis County,Minnesota,,,,,1219.0,Class B,
3980,13,Near Dark Lake Edited,St. Louis County,Minnesota,,,,,1471.0,Class B,
