index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
3501,0,it is at Smittle Conservation Area near Grovespring. I would be happy to take you out there.,Wright County,Missouri,Report 59307: Broken trees and possible print found after swaying animal evades hunters near Grovespring,37.46041,-92.63587,2018-04-14,59307.0,Class B,9ywjh52wey
4022,1,if you look at the location of chaonia landing you'll note it sits in the middle of three points of land surrounded by the waters of lake wappapello. these two creatures were across the water from each other trying to find a path back together. eventually they went off in the direction they came continueing to call to each other.,Wayne County,Missouri,Report 27261: Couple witness rocks thrown and possible vocalizations between two animals on either side of a fishing dock near Williamsville,36.57869,-90.21339,2007-11-18,27261.0,Class B,9yxb54uw7d
4023,2,Between DeSoto & Potosi on old Missouri Highway 21.,Washington County,Missouri,Report 1158: Child encounters a man-like creature in a shed.,38.039,-90.7517,1956-10-15,1158.0,Class A,9yz2quu9hp
4024,3,Rt 54 eastbound just before right hand turn off toward mo rt 32,Vernon County,Missouri,Report 31201: Night road crossing observed near El Dorado Springs,37.85524,-94.11218,2011-11-22,31201.0,Class A,9ytp67mdg2
4025,4,Just off the Hwy71 Camp Clark exit,Vernon County,Missouri,Report 33872: Grandmother has a possible night time sighting from her home in the city of Nevada,37.8322,-95.32129,2012-02-22,33872.0,Class B,9yspnzjhsc
4026,5,"It was on the main highway east of Fort Scott, Kansas heading into Missouri. It is south of Kansas City near the Arkansas border.(Sighting happened on Missouri side of border.)",Vernon County,Missouri,Report 36572: Trucker has nighttime sighting outside the city of Nevada,37.84203,-94.6028,2012-09-18,36572.0,Class A,9ysxr2bmfc
4027,6,"About ten miles North east of Nevada, Missouri.",Vernon County,Missouri,Report 40548: Motorist has a possible sighting on a rainy night near Schell City,37.91544,-94.32079,2012-09-21,40548.0,Class B,9ysztwm9qq
4028,7,There are some small oil rigs on the south side of the road. I would talk to someone about this but would not want it posted since I saw so little and have no proof.,Vernon County,Missouri,Report 40015: Driver has possible early morning sighting near Fort Scott,37.84239,-94.60359,2012-10-24,40015.0,Class B,9ysxr0zzbs
4029,8,Do not post this information.  My parents have since sold a portion of this property and we do not want the new owners to be bothered.,Washington County,Missouri,Report 30159: Recollection of a possible nighttime encounter on a four-wheeler near Sullivan,38.11468,-91.06547,1989-11-18,30159.0,Class B,9yz0zf84he
4030,9,,Wayne County,Missouri,Report 27800: Large unknown animal on all fours seen crossing a road near Patterson,37.18847,-90.52135,2010-05-25,27800.0,Class B,9yxes1uqe9
4058,10,I don't remember how to get there.,Texas County,Missouri,Report 27341: Childhood memory of a figure filling the window of her home near Evening Shade,37.5656,-92.1426,1977-03-15,27341.0,Class B,9ywmxnxg3z
4059,11,Ruth Henning conservation area - aka Henning Park scenic overlook,Taney County,Missouri,Report 41427: Memory told of a nighttime close encounter in the Henning Conservation Area near Branson,36.66887,-93.29459,1994-08-23,41427.0,Class A,9yt8t52gwk
4060,12,,Stone County,Missouri,Report 15075: School teacher remembers his close encounter with a sasquatch while hunting near Cape Fair,36.67065,-93.65774,1975-07-15,15075.0,Class A,9yt2sg8w02
4061,13,"next to Golden Cat, Kitty Litter plant, between Hwy. Y and Ab",Stoddard County,Missouri,Report 27410:  Man recalls his brief daylight sighting outside Bloomfield,36.87593,-89.86899,1986-01-14,27410.0,Class A,dn81fcp3ug
4062,14,At the time it was called John J. Audibon Historical Trail. It was on a county road in a forest.,Ste. Genevieve County,Missouri,"Report 62297: Two young campers get stalked at night, then a Sasquatch sighting the next morning near John J. Audubon Historic Trail in Mark Twain National Forest",37.718,-90.177,1976-04-10,62297.0,Class A,9yxyefr578
