index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
3499,0,"To get there take Highway 78 south out of Absarokee about 2.5 miles and turn right (west) onto the road to Fishtail. Go past Fishtail about a mile and turn left (east) onto West Rosebud Road. Four miles farther, turn right (west) at the sign to Mystic Lake. Just 2.6 miles farther down the road, turn left (south) when the road Ys and take the gravel road across the West Rosebud River. The road parallels the river south before crossing it again. From this bridge, go 2 miles and across a cattle guard. Park just on the other side of the cattle guard. This is near the BLM corner.",Stillwater County,Montana,Report 47215: Female fly fisherman's lucid recollection of classic territorial intimidation behavior of Saquatches ; 6mi NE of Mystic Lake,45.31278,-109.6449,1971-12-15,47215.0,Class B,c841bbzn0d
4204,1,"At Bull Run Gulch just northwest of Walkerville, Montana, a suburb of Butte, Montana.",Silver Bow County,Montana,Report 1757: Two separate sets of large footprints found,46.05292,-112.571,1988-12-15,1757.0,Class B,c2pvyrsm9w
4205,2,To the right of the bridge is a public boat launch on the east side of the river. The sighting took place on the west side of the river in a popular picnicing/camping area in the summer months. In the winter it is deserted.,Sanders County,Montana,Report 8999: Woman reports riverbank sighting,47.62167,-115.3903,2004-03-14,8999.0,Class A,c2myyjr274
4206,3,3 miles west of sidney montana on hiway 200 going towards lambert,Richland County,Montana,Report 1695: Motorist sees long-haired upright animal walking across snow-covered road,47.70667,-104.1922,1979-12-31,1695.0,Class A,c8mzmh9x3z
4207,4,,Ravalli County,Montana,Report 13383: Hunting guide recalls an encouter with a Bigfoot crouching behind a root ball in Bowls Creek,46.02962,-113.1198,1991-10-11,13383.0,Class A,c2ptcgktvx
4208,5,About 65 or 70 miles South of Malta on highway 191 on the C.M. Russel Wildlife Refuge.,Phillips County,Montana,Report 33257: Tow truck driver watches a creature drag an elk away from accident site south of Malta on Hwy. 191,47.66724,-108.6873,2011-01-08,33257.0,Class A,c86xnv83f3
4209,6,a cliffband on top of a timbered hill at about 7000' on west side of Crazy Mountains,Park County,Montana,"Report 1693: While scouting a timbered hill at 7000', hikers see a bipedal animal stand up & walk away",46.01833,-110.3308,1989-05-20,1693.0,Class A,c81tc37s4n
4210,7,The southern side of U.S. 90 on the Livingston side of the Bozeman hill.,Park County,Montana,Report 2995: A van driver and passenger observe a large animal walking,45.66722,-110.8069,2001-08-22,2995.0,Class A,c815y92yu4
4211,8,Steep mountain side to our left.  River to our right.,Ravalli County,Montana,Report 21839: Trucker couple report daytime road-crossing sighting near Sula,45.82285,-114.0125,2005-09-20,21839.0,Class A,c2nuttf9kn
4212,9,"On the Missouri river bottom approx. 30 miles East of the FT.Peck Dam. On a back road known as the ""Indian Highway"" about six miles East of Frazier and about 14 miles West of a town called Wolf Point. The Stiffarm Residence is know in the area, and about 1/4 a mile southwest of the house.",Roosevelt County,Montana,Report 1700: Witnesses hear unusual screams while hunting & note local Indian stories regarding Bigfoot,48.03278,-105.8642,1984-10-27,1700.0,Class C,c8s9r0051r
4213,10,"On the East Ridge, south of The Lady of the Rockies. About in the middle of the hill.",Silver Bow County,Montana,Report 25662: Hiker spots a bigfoot in the mountains east of Butte,45.9754,-112.4554,2007-08-15,25662.0,Class A,c80j9186p7
4217,11,in a wooded area bordering the wilderness area of the Rattlesnake Wilderness,Missoula County,Montana,Report 1614: Young horseback rider has a face-to-face encounter in the Rattlesnake Wilderness Area,46.97694,-113.8381,1977-07-14,1614.0,Class A,c2r51xcss0
4218,12,it has lots of think pine forest and beaver dams on the creek and lots of water; it is green border line lush,Meagher County,Montana,Report 36281: Close daylight sighting by a fisherman near White Sulphur Springs,46.76389,-110.7781,2010-05-29,36281.0,Class A,c834p1jg7h
4219,13,"Upon entering Virginia City via Hwy 287, take a right if your coming from Nevada City, or a left if you came in from Ennis, up Alder Gulch. This is the first place in Montana that gold was discovered, so there is a monument a short was up the gulch.  I was 16 years old at the time and my cousin was 25, so quite a few years have passed since this sighting happened. My Grandfather's cabins are about 8-10 miles up Alder Gulch and the road to the ridge is another mile and a half from my Grandfather's cabin. My Grandfather no longer owns the cabin.",Madison County,Montana,Report 30384: Cousins view a large biped figure on opening day near Virginia City,45.12266,-111.563,1978-10-21,30384.0,Class B,c808tq6699
4220,14,"Go east from Libby Mt. city center on Hwy. 2 Turn south on Golf Course Road and follow Granite Creek Road 6 miles to Lukens-Hazel Mine. Turn right, proceed to Old Mine-owners cabinHorse Cree",Lincoln County,Montana,Report 10260: Four climbers report repeated vocalizations,48.27011,-115.6418,1978-07-04,10260.0,Class B,c2tf8e21yb
4221,15,"along the eastern shore of the Missouri River about 3/4 mile below Hauser Dam, northeast of Helena",Lewis And Clark County,Montana,Report 1530: Fly Fisherman sees a hairy bipedal creature while trout fishing,46.76472,-111.8861,1977-08-16,1530.0,Class A,c826jcr00z
4222,16,Sand Basin area,Granite County,Montana,"Report 1518: Campers hear something ""running"" through camp & find very large footprints",46.18694,-113.6925,1994-09-30,1518.0,Class B,c2pnub5dkt
4223,17,the foothills of the rockies on the Blackfeet Reservation in Big Sky Country,Glacier County,Montana,Report 1517: Horse-riding witnesses see hairy bipedal animal cross trail on Blackfeet Reservation,48.36139,-113.1236,1982-10-02,1517.0,Class A,c2xe1gcvt0
4224,18,"U.S.A. Gallatin National Forest, Gallatin County, Montana. ~10 miles east of US 191 ~30 miles south of Bozeman. Incident occurred in the Portal Creek area.",Gallatin County,Montana,"Report 1454: Three backpackers see a large, massive upright animal running on two legs through the brush in Gallatin Nat'l Forest",45.22417,-111.125,1993-06-03,1454.0,Class A,c80cr2c1zu
4225,19,"While I cannot give a specific location, I will do my best. We were off  highway 83 east towards the mountains. We were hunting district 130 of MT, north of Lindberg Lake, and south of the hunters check in station heading north on 83. I believe we were behind the small airport.",Flathead County,Montana,Report 21907: Possible sighting and wood knocks heard near Swan Lake,47.60413,-113.7593,2010-03-20,21907.0,Class B,c2rng6540j
4226,20,"The ""event"" took place appx. 40 miles south of Great Falls, MT. in the Dearborn River area, about 12 miles back in the woods, on upper Saw Mill creek.",Cascade County,Montana,"Report 1208: Vocalizing, smelly animal circles cabin",47.17833,-111.9744,1982-03-14,1208.0,Class C,c82k7uw9xq
4227,21,,Carbon County,Montana,Report 36008: Photograph taken of a figure sitting by a creek outside Red Lodge,45.28074,-109.5528,2012-06-30,36008.0,Class B,c841e5456t
4228,22,,Broadwater County,Montana,Report 37974: Elk hunter finds large bi-pedal tracks on Mount Baldy,46.48392,-111.2644,2012-11-24,37974.0,Class B,c82bkn5srw
4229,23,"The old town of Decker.  It's not there anymore.   They wanted to mine coal under it, so they moved it.   But the sighting was right at the old town of Decker.",Big Horn County,Montana,Report 17292: Late night sighting by motorist near Decker Montana,45.0262,-106.8331,2007-01-15,17292.0,Class A,c8h00uy88k
4230,24,It was about five hundred yard from a high mountain lake,Beaverhead County,Montana,Report 40524: Photo taken of a possible print near Lake Esler and memory told of a daylight sighting near Deerhead Lake,45.3705,-112.9707,2012-06-24,40524.0,Class A,c2pdj73nrf
4234,25,Come down and I will show you exactly where,Flathead County,Montana,Report 36759: Deer hunter on the Flathead Indian Reservation passes a tall biped on the roadside,47.57549,-144.0265,2012-09-16,36759.0,Class B,bb3wdsg576
4235,26,"Approximately 4 miles west of Belgrade, Montana and 1 mile south of I-90.  3/4 of a mile east of the West Gallatin River.",Gallatin County,Montana,Report 50297: Horse boarder hears possible vocalizations late at night west of Belgrade,45.7922,-111.3637,2015-11-26,50297.0,Class B,c80u9b5qvs
4236,27,One (1) mile from the Trail Creek trail head.,Gallatin County,Montana,Report 51959: Possible tracks found along hiking trail outside Bozeman,45.61331,-110.7897,2016-05-30,51959.0,Class B,c815qztkuc
4237,28,"This was on the main road (Going To The Sun Highway) into Glacier National Park from Missoula, Montana - the western side of the park. I know this bridge was a little way after the first big lake (Lake McDonald). One could walk down in to the park and one had to walk down a narrow little dirt path to get to the bridge that went over the river which is on the left side of the road.",Glacier County,Montana,Report 12636: Video taken of running biped near Avalanche in Glacier National Park,48.68,-113.82,2003-06-18,12636.0,Class B,c2xhcvyv9c
4238,29,Take Hwy 1 from Anaconda to Georgertown. Take 242 up to Racetrack Lake.,Granite County,Montana,Report 34024: After exploring old gold mines a rock is thrown at a moving vehicle near Georgetown,46.30766,-113.1424,2010-10-22,34024.0,Class B,c2px3qh1wv
4239,30,"In Wolf Creek canyon near Wolf Creek, Montana off of I-15 returning to Helena after a trip to Great Falls",Lewis And Clark County,Montana,Report 1533: Motorist & passenger see white creature standing off I-15,47.07444,-111.9625,1981-12-20,1533.0,Class B,c827u1xkkx
4240,31,,Lewis And Clark County,Montana,Report 1519: Boys observe hairy man-like creature several times,47.04333,-112.7031,1982-06-30,1519.0,Class A,c2rge7up72
