index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
2077,0,"the road is off us rt 80, i dont know the exit number just how to get there if im driving will try to find out the details.",Warren County,New Jersey,,,,,438.0,Class B,
2079,1,forested wetland at the base of a ridge on southeast side and agricultural field on west. whatever it was it crossed west to east,Warren County,New Jersey,Report 13276: Motorist has nightime sighting near Harmony,40.76345,-75.11044,2005-12-21,13276.0,Class B,dr4xfuf0rc
2080,2,,Warren County,New Jersey,Report 17550: Nighttime sighting by motorist near Mansfield,40.8192,-74.85561,2007-03-31,17550.0,Class A,dr6b0wgv1f
2081,3,,Warren County,New Jersey,,,,,27743.0,Class A,
2082,4,"Waterloo Road, near the Sussex - Warren County border.",Warren County,New Jersey,Report 49883: Recollection of a possible late night stalking on Waterloo Road in Allamuchy,40.89452,-74.79077,2015-10-02,49883.0,Class B,dr6bdhe5be
2117,5,I AM WRITING TO YOU AT 1:30 AM. MY HUSBAND IS SLEEPING.HE COULD GIVE YOU EXACT LOCATIONS AS HE WAS THE DRIVER. I BELIEVE THE AREA WAS CALLED MENDEM/MENDAM...NEAR BERNARDSVILLE. SHOULD YOU NEED ADDITIONAL LOCATION INFO I WILL GLADLY HAVE MY HUSBAND PROVIDE IT FOR YOU.,Somerset County,New Jersey,"Report 2750: Driving along a secluded road at night, couple's car almost strikes creature crossing road",40.7446,-74.6215,2004-04-23,2750.0,Class A,dr4zvcq63p
2118,6,From the Delaware memorial bridge take rt49 south to Fort Mott road.  After about one mile turn left onto Ft Sumpter road.  The apartments are at the end of the road.  They are still there as of 2004.,Salem County,New Jersey,Report 13310: Possible sighting near Supawna Meadows National Wildlife Refuge,39.632,-75.5167,2006-02-01,13310.0,Class B,dr433wf3jk
2119,7,Heading down from the top from Oakland side to Ringwood. First curve toward right.,Passaic County,New Jersey,Report 38762: Woman recalls seeing something strange cross the road while driving at dusk near Ringwood,41.06945,-74.15562,1979-08-15,38762.0,Class B,dr738s3wbu
2120,8,I was just past the point where the creek (Burnt Meadow Brook) discharges from the culvert under the roadway.,Morris County,New Jersey,,,,,6186.0,Class B,
2121,9,ALAIRE STATE PARK,Monmouth County,New Jersey,,,,,16308.0,Class A,
