index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
2083,0,"We were on the trail to Middle Fork Lake. Approximately 36.5990º N, 105.4113º W.",Taos County,New Mexico,Report 4904: Professor and students discover series of large footprints crossing high mountain trail,36.599,-105.4113,2000-05-17,4904.0,Class B,9wt01q9uds
2084,1,about 5 miles up forest rd 442 at the Gallegos peak area.,Taos County,New Mexico,"Report 16207: Possible vocalizations, knocks heard by hunters in the Gallegos peak area",36.19625,-105.5596,2006-10-02,16207.0,Class B,9wkvvvmf7n
2085,2,Withheld by request,Taos County,New Mexico,,,,,26460.0,Class A,
2086,3,"It was just North of the road on Hwy 285 from the flashing light of Tres Piedras, New Mexico right where there is a wall of rocks on each side of the road. by the Per-light.",Taos County,New Mexico,Report 28886: Couple driving home has night time sighting near Tres Piedras,36.65339,-105.9678,2011-02-20,28886.0,Class A,9ws8s8s97r
2166,4,Seven mile East of Cuba near the new baca ranch location,Sandoval County,New Mexico,,,,,5535.0,Class B,
2167,5,"It is the Southernmost gas station off of I-25 from Las Vegas, NM.  It is a large service center.",San Miguel County,New Mexico,"Report 43399: Scientist skeptic has early morning encounter behind gas station near Las Vegas, NM",35.52162,-105.2526,2013-10-18,43399.0,Class A,9wm4hft2kt
2168,6,Near mountain lake in the Chuska Mountains on the New Mexico/Arizona border. There is a road that runs the length of the mountain chain.,San Juan County,New Mexico,,,,,490.0,Class A,
2169,7,"Game unit 5A, would have to draw map to give directions (see report above)",Rio Arriba County,New Mexico,Report 20011: Hunters experience powerfull knocks on camper and hear vocalizations outside Jicarilla Indian Reservation,36.4178,-107.1612,1982-01-11,20011.0,Class B,9w7z1mxt51
2170,8,"Mountains, with deep forest, mostly pine trees.  It was during deer hunting season.  As far as directions, that's hard to remember, because I never went back to it. It was a long time ago. I was a young man then.",Otero County,New Mexico,,,,,8417.0,Class A,
2171,9,,McKinley County,New Mexico,Report 10266: Witness sees unknown animal cross dirt road near New Mexico State Route 264,35.63736,-108.8676,2002-09-17,10266.0,Class A,9w6ddxt49j
2172,10,The location was deep in the mnts up Ponderosa Rd. which is off the main road in Jemez.,Los Alamos County,New Mexico,,,,,28218.0,Class B,
2173,11,[Location specifics withheld due to upcoming expedition to this area],Lincoln County,New Mexico,,,,,9992.0,Class B,
2174,12,"To the east of I-25 a mile or two, north of Ft Seldon exit",Dona Ana County,New Mexico,,,,,3461.0,Class A,
2175,13,Approx 1 mile from the top of Raton Pass going south on I-25,Colfax County,New Mexico,Report 10349: Motorist has nighttime sighting below Raton Pass,36.9934,-104.4801,2005-01-23,10349.0,Class A,9wtdqqryjj
2178,14,about 10 miles southeast of crowpoint nm on highway # 9 i belive it a bia road,McKinley County,New Mexico,Report 12994: Man observes creature walking across road.,35.58565,-107.9978,2005-11-03,12994.0,Class A,9w74qqnmkv
2179,15,"Just entering the Canyon, just past where the guard rails end.",McKinley County,New Mexico,"Report 28964: Motorist has close-range encounter with large, hairy biped south of Thoreau",35.37201,-108.2034,2011-03-07,28964.0,Class A,9w711z28yh
2180,16,"We were on a dirt road, Indian Service Route 32, going South into the Chuska mountains. About 5-8 miles south of Indian Service Route 32, Hwy 134.",McKinley County,New Mexico,Report 34460: A large biped seen in headlights on a moonlit night in the Chuska Mountains,36.0605,-108.84,2011-07-16,34460.0,Class A,9w6t5k95sh
2181,17,"[Details witheld by investigator, due to upcoming expedition in the same area].",Otero County,New Mexico,,,,,9918.0,Class B,
2182,18,[Location details removed],Otero County,New Mexico,,,,,537.0,Class B,
2183,19,"Between Mescalero and Ruidoso, New Mexico. On the Mescalero Apache Reservation.",Otero County,New Mexico,Report 1918: Nighttime sightings on Mescalero IR,33.27735,-105.7395,2001-08-06,1918.0,Class A,9tuv3cfye5
2184,20,Edited by request,Otero County,New Mexico,,,,,3895.0,Class A,
2185,21,Four miles north of Mescalero School.,Otero County,New Mexico,Report 10126: Possible night time sighting by a resident in the Carrizo neighborhood of Mescalero IR,33.2516,-105.7197,2004-06-02,10126.0,Class B,9tuv4m3287
2186,22,,Otero County,New Mexico,,,,,7823.0,Class B,
2187,23,all of this happened over different seasons and times. And the locations were brushy and have alot of trees around.,Otero County,New Mexico,Report 10114: A few witnesses see something reach through an open window in Mescalero N.M.,33.15405,-105.7947,2004-07-26,10114.0,Class A,9tuu8ed8kf
2188,24,,Otero County,New Mexico,,,,,9228.0,Class A,
2189,25,Withheld by request,Otero County,New Mexico,"Report 23585: Mescalero Reservation resident sees silhouetted figure swaying at window, large footprints outside house",33.27094,-105.7338,2008-03-12,23585.0,Class B,9tuv3bycrb
2190,26,"Out of the town of Cuba, about 7 miles into the Santa Fe National Forest.",Rio Arriba County,New Mexico,Report 8409: Sasquatch reaches into tent of adult camper,35.98475,-106.8803,1983-05-07,8409.0,Class A,9w7uxyu4ke
2191,27,,Rio Arriba County,New Mexico,,,,,1553.0,Class B,
2192,28,(withheld),Rio Arriba County,New Mexico,Report 11526: Water hauler has late night encounter,36.7474,-107.6021,2004-12-15,11526.0,Class A,9we3p3wt17
2193,29,this was in the oil field in gubnerdor on BLM land ans ranch land,Rio Arriba County,New Mexico,Report 11109: Close range night time sighting by water hauler near Gobernador (on BLM land).,36.72065,-107.3956,2005-01-10,11109.0,Class A,9we8uhucm1
2194,30,Around the navajo river.,Rio Arriba County,New Mexico,Report 11976: Vocalizations heard near Dulce,36.91475,-106.9958,2005-06-21,11976.0,Class B,9wefj20h10
2195,31,(withheld),Rio Arriba County,New Mexico,Report 11992: Late night vocalizations heard near Dulce,36.7657,-106.9547,2005-06-26,11992.0,Class B,9wecnhvzwz
2196,32,Jemez Mountains ; North-Central New Mexico,Rio Arriba County,New Mexico,Report 12418: Various sounds heard during the BFRO's Jemez Mts. expedition.,36.095,-106.9571,2005-08-11,12418.0,Class B,9w7vq4uhwg
2197,33,Four Corners Area of New Mexico and Colorado,San Juan County,New Mexico,,,,,491.0,Class B,
2198,34,There is a turn off to the right of the highway just before the ten mile marker. It's about ten miles to the river. We had just come up out of the first canyon to a small flat area when this incidence occured.,San Juan County,New Mexico,Report 12542: River guide sees skinny bigfoot at dusk,36.81315,-108.7608,2002-03-16,12542.0,Class A,9wd9mjdu1s
2199,35,Between Highway State routes 12 North and New Mexico State Hwy 666 (on New Mexico State Route 134),San Juan County,New Mexico,Report 4538: Early evening sighting in meadow near Narbona Pass in the Chuska Mountains,36.126,-108.87,2002-06-15,4538.0,Class A,9w6td8e31n
2200,36,"NEAR THE ARIZONA AND NEW MEXICO SATELINE, ON THE CHUSKA MOUNTAIN. BETWEEN RED VALLEY, AZ AND TSAILE, AZ. EAST SIDE AND THE CHUSKA MOUNTAIN. SUMMER SHEEP CAMP.",San Juan County,New Mexico,Report 11589: Mother and daughter see creature from the road,36.39135,-109.0612,2003-10-19,11589.0,Class A,9w6rn2b4cz
2201,37,[Removed],San Juan County,New Mexico,"Report 12271: Possible visitation at a camp, 10 miles northeast of Whiskey Lake.",36.14505,-108.8548,2005-08-06,12271.0,Class B,9w6tdun25m
2202,38,"Before you get into the town of Sanostee, there's a turn off to the southwest (across from the trading post turn off).  This is a well used dirt road that leads to the mountains.  (Withheld)",San Juan County,New Mexico,Report 12915: Zoologist hears wood knocking.,36.39135,-109.0612,2005-10-11,12915.0,Class B,9w6rn2b4cz
2203,39,Location was right off the side of the road on a hill just before the picnic area.,San Juan County,New Mexico,Report 26414: Daytime sighting by two men while driving near Narbona Pass,36.08089,-108.892,2009-05-12,26414.0,Class A,9w6t60762m
