index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
2075,0,"East on Route 104, near town of Huron.",Wayne County,New York,"Report 26566: Man observes tall, white hair-covered creature during a family gathering near Lake Ontario",43.27314000000001,-76.89331,2003-09-20,26566.0,Class A,dr9q4m8h21
2222,1,Just south of the Tongue Mt.Lookout on Route 9N.,Warren County,New York,,,,,2405.0,Class A,
2223,2,"Right beyond the entrance of ""Ica Cave Mountain"" in the little hamlet of Cragsmoor. The nearest town is Ellenville in the county of Ulster. ""Shawangunk Mountains"".",Ulster County,New York,,,,,8064.0,Class A,
2224,3,"State land area known as ""Michigan hill"" in Richford , NY  main road )travel out of newark valley on route 36 , you turn right of route 36 just after fishing access area. go about 1/4 mile and hang a right on michigan hill road go up th mountain approx 3 or 4 miles and hang left on access road.",Tioga County,New York,Report 7890: Two hunters experience vocalizations and encounter very large unknown animal,42.40489,-76.17366,2001-01-01,7890.0,Class B,dr9c4xs43h
2225,4,"location is farmland,swampy area which runs next to and adjoins with a lake. property is not far from Canada",St. Lawrence County,New York,,,,,25631.0,Class A,
2226,5,,Rockland County,New York,,,,,5022.0,Class B,
2227,6,"Poestenkill is what is known as a ""hill town"" of Rensselaer County, and lies approx halfway between Albany N.Y. and Williamstown Mass. at an elevation of about 1000 feet above sea level.",Rensselaer County,New York,,,,,5685.0,Class A,
2228,7,BIG BUCK MTN STATE PARK,Putnam County,New York,Report 11841: Two young boys see crouching animal,41.5036,-73.7171,1980-08-21,11841.0,Class A,dr7s4e2zgp
2229,8,,Otsego County,New York,Report 13874: Old sighting (1973) and recent vocalizations (2005/06) on the outskirts of Maryland (town),42.56379,-74.8865,1973-08-01,13874.0,Class A,drddput241
2230,9,located in the woods just across the Williamstown bridge headed east on the north side of Rt. 13 on the east side of the williamstown Pond.,Oswego County,New York,,,,,3614.0,Class B,
2231,10,Location withheld per witness's request.,Orleans County,New York,"Report 11089: Two young boys experience powerful, high-pitched vocalization",43.26886,-78.28014,1992-05-01,11089.0,Class B,dr8q4sy5ks
2232,11,,Orange County,New York,,,,,2144.0,Class B,
2233,12,,Ontario County,New York,Report 7368: Morning sighting by deer hunter near Naples,42.6153,-77.4028,2006-10-07,7368.0,Class A,dr8fqtvh05
2234,13,off of upper holley rd in clarendon new york near rt 237 know there is a stone quarry there,Orleans County,New York,,,,,4799.0,Class B,
2235,14,"FARMING AREA, FIELDS, WOODS AND A SMALL STREAM OR CREEK RUNS THROUGH UP THE ROAD FURTHER FROM THE SIGHTING. DIRECTIONS FROM BUFFALO...TAKE I-90 EAST TO PEMBROKE EXIT...GO NORTH ON RTE 77...GOES INTO RTE. 63 NORTH(ALABAMA)...TAKE 63 ALL THE WAY TO MEDINA,(ABOUT 30 MILES)TURN RIGHT ONTO RTE. 31A...ABOUT 5 MILES, HAMLET OF MILLVILLE, TURN LEFT ONTO DRESSER ROAD...WHICH RUNS BETWEEN THE TWO 31S'. TRACKS ARE ALMOST TO THE INTERSECTION FOR THE OTHER 31 (ABOUT 1 MILE).",Orleans County,New York,Report 18122: Morning sighting by motorist at railroad crossing near Median,43.22649000000001,-78.3253,1997-04-15,18122.0,Class A,dr8mctjk81
2236,15,"The incident took place right in town, but being so early in the morning it was dead quiet; no traffic noise, no wind, nothing.",Orleans County,New York,"Report 7939: Powerful vocalizations heard near town of Albion, NY",43.2265,-78.1946,2002-08-22,7939.0,Class B,dr8muthktg
2237,16,If you live around there you know right where that is,Orleans County,New York,Report 11688: Husband and wife see animal near garbage dump,43.34806,-78.23962,2003-01-15,11688.0,Class A,dr8qee78u8
2238,17,"Heading north on county rt 22 its a right hand turn onto center rd.  The sighting was somewhere between a mile and a half to two miles up center rd, right around where the fields become thick woods.",Oswego County,New York,,,,,5326.0,Class A,
2239,18,"New York State, Otsego county or close by Susquahana State Park near Crumhorn Mountain",Otsego County,New York,,,,,1597.0,Class B,
2240,19,"The witness does not want the specific location  published. It is near the town of Sidney, NY.",Otsego County,New York,Report 12388: Women sees tall animal pass by her bedroom window in morning daylight (8:00 AM).,42.32921,-75.3811,2004-05-31,12388.0,Class A,drd2u9v1t0
2241,20,"Rt 9 to snake hill road, 3rd private road 200 yard in.",Putnam County,New York,"Report 15144: Possible red eyeshine in woods near Garrison, New York",41.38084,-73.91649,2004-09-20,15144.0,Class B,dr77mvpsug
2242,21,"The location was in a well wooded area about 2 miles behind my home and a neghbors property.  The old logging trail is used by friends for hiking, walking etc at all tmes of the year.  It is accessible only by trails across my or my neighbors land.",Rensselaer County,New York,,,,,4508.0,Class B,
2243,22,,Rensselaer County,New York,,,,,8187.0,Class B,
2244,23,"i87 to exit 15a 14 miles north to harriman state park\bear mountian, arden vally road. 3 mile up on the right, first camp. camp sunrise 1\4 mile up drive way on the right.",Rockland County,New York,,,,,5703.0,Class B,
2245,24,take the Palisades parkway to exit 16,Rockland County,New York,Report 28105: Two fishermen frightened after dark on Lake Kanawauke,41.23296,-74.11488,2015-08-06,28105.0,Class B,dr7696ppqh
2246,25,It is across the road from my house,St. Lawrence County,New York,Report 25661: Wood knocks heard and tracks found near Canton,44.62185,-75.58825,2009-03-18,25661.0,Class B,drfjzgnm45
2247,26,"My son and I were building fence for our cows. We were on the hill behind our house. There is a great view of the valley. There was a work crew working on the railroad at the edge of our property. I noticed this large animal come-up out of the river. I thought it was a bear. My son noticed it also. It was dark and walked like a man. In comparison to the men on the RR tracks it 2 to 3 times larger than the men working. It had a large head that seemed to fall into the shoulder with not much of a neck. It had longer arms and a slight sway as it walked. The men on the RR were behind a hedgerow and would not be able to see the animal. It went around the bend in the river and disappeared. The next day I got to thinking about it and went down to the river to see if I could find any tracks. I went to the spot where it came out of the river. I was unable to find any tracks. I feel it came out of the because the was a trash build up of debris, tires and all sorts of things. Rather than trying to get through that mess it walked around. It think the animal was using the Canisteo river for a road out of sight.",Steuben County,New York,Report 13662: Daylight sighting near a railroad bed and the Canisteo River,42.28045,-77.60525,1980-04-21,13662.0,Class A,dr8bd0ct6x
2248,27,,Steuben County,New York,,,,,2630.0,Class A,
2249,28,,Steuben County,New York,,,,,4643.0,Class B,
2250,29,"about about half mile off shannon Rd, north east of shannon rd",Steuben County,New York,,,,,5515.0,Class B,
2251,30,,Steuben County,New York,Report 19836: Campers describe incidents over 3-4 hours with unseen animal near their camp outside Prattsburgh,42.54346,-77.36516,2003-11-09,19836.0,Class B,dr8fp8b3t5
2252,31,Go out Day hollow Rd from Endicott NY about 10 to 15 minutes and foster valley is a right hand turn off of day hollow. the sighting occured about 1/4 mile from day hollow.,Tioga County,New York,Report 10136: Close roadside observation of female upright animal along country road,42.1174,-75.64853000000002,2001-10-22,10136.0,Class A,dr6pwe4rtk
2253,32,"Lake near Modena, New York.",Ulster County,New York,Report 7514: Video footage shot at dusk shows a primate in a tree in the background.,41.66955,-74.0863,1997-05-23,7514.0,Class B,dr7m41sn8p
2254,33,,Ulster County,New York,,,,,59664.0,Class B,
2255,34,[Witness requested directions be kept off Web],Warren County,New York,,,,,3298.0,Class A,
2256,35,"Warren County, New York. Adirondack Mountains, Lake George, Sabbathday Point",Warren County,New York,,,,,1598.0,Class B,
2257,36,"this happened July 29 , 1998 in warren county , NY specifically in Ticonderoga ,off of Rt9 at a cemetary in the town.",Warren County,New York,,,,,1599.0,Class B,
2258,37,Off of route 9W in lake George Region,Warren County,New York,,,,,2557.0,Class B,
