index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
3498,0,"Yancey County, North Carolina, near the summit of Mt. Mitchell",Yancey County,North Carolina,Report 3339: Deep impressions seen in the snow,35.74875,-82.26195,1988-03-15,3339.0,Class B,dnme25fetd
3524,1,"Pisgah National Forest, Black Mountain Campground",Yancey County,North Carolina,Report 30860: Daylight sighting by camper at Black Mountain Campground near Blue Ridge Parkway,35.75278,-82.22121,2011-08-21,30860.0,Class A,dnme3h874c
4231,2,"Take I-77 to US 421 S. in Hamptonville Get off at the Asbury Church Road Exit, turn right. Go straight through the intersection. (This is Asbury Church Road).  Turn onto the first road on the left (not sure of the name of this road...maybe Flat Rock Church Road).  Go to the end of this road, passing Flat Rock Baptist Church on the left.  At the end of this road, take a right.  I think that this road is called Hamptonville Road.  Go about 2 to 3 tenths of a mile.  On the right, there is a very small wooden house sitting down in the middle of what looks like a field.  This is where the sighting occurred.",Yadkin County,North Carolina,Report 3439: Young boy startles creature under house porch.,36.09945,-80.7704,1971-10-01,3439.0,Class A,dnqt658y93
4232,3,"It happened in Wilbar, NC. Off 16 North about 8 to 10 miles. Roten Creek Road",Wilkes County,North Carolina,Report 27908: Man recalls his 1978 close encounter with a large hair covered creature in Wilkesboro,36.31126,-81.30889,1978-08-24,27908.0,Class A,dnqntf28mt
4233,4,Farmland 5 miles east on Courtney Huntsville Rd. off of Highway 601,Yadkin County,North Carolina,"Report 13378: Menacing commotion at night, tracks in snow the next morning, out Yadkinville",36.134,-80.66,1976-12-12,13378.0,Class B,dnqts9cpvc
4254,5,"Area has seen ""some"" residential development,and some logging (clearcutting)had been reported At the time of my experience,it was an old forest,with hardwoods,and pines mixed. ",Warren County,North Carolina,Report 7246: Hunter has daytime sighting near Shocco Creek,36.21335,-78.09365,1983-11-15,7246.0,Class A,dq2qnbmyn1
4255,6,,Swain County,North Carolina,Report 4763: Hikers find footprint in Great Smoky Mountains National Park.,35.5131,-83.5582,1975-07-12,4763.0,Class B,dnkd48fybc
4256,7,,Surry County,North Carolina,Report 10776: Mother and daughter find footprints in their front yard in Pilot Mountain.,36.38287,-80.46865,1999-01-16,10776.0,Class B,dnqybzk98d
4257,8,None.,Stokes County,North Carolina,Report 19015: Possible vocalization and approach to tents reported by campers on private land near Pilot Mountain,36.48615,-80.375,2007-05-10,19015.0,Class B,dnqze40enz
4258,9,"United States, state of North Carolina in Stanly County between the towns of Oakboro and Aquadale.  On Old School Road off Hwy 138",Stanly County,North Carolina,"Report 3337: Woman witnesses a 7 foot tall, silver-black sasquatch while driving",35.2256,-80.26915,1994-11-30,3337.0,Class A,dnqbmktgcp
4259,10,[Omitted at witness' request],Sampson County,North Carolina,Report 6267: Two young men are confronted in broad daylight by a large creature near Falcon,35.18637000000001,-78.63611,1976-11-15,6267.0,Class A,dq204t6zmy
4260,11,,Rutherford County,North Carolina,Report 14801: Daylight sighting by fishermen on Broad River,35.451,-82.287,1991-03-15,14801.0,Class A,dnm3xt8mjc
4261,12,I'm not sure if it was just prior to exit 3 or 2.  I was kind of in a state of shock and was not really concerned with that at the moment.,Robeson County,North Carolina,Report 49977: Motorist has a nighttime sighting on I-95 near Rowland,34.5287,-79.26708,2015-10-13,49977.0,Class A,dnpskjz2r0
4262,13,"Take highway 74 west to cartledge creek road turn left on grassy island road go across mountain creek bridge and the  1st place is before the 2nd bridge to the right hand side just follow the creek,the 2nd place is up to the curve on the hill and there is a huge yellow gate back off the roads you can se where people park walk to gate and follow road around to the right,I can show you the places if you need me to .Please don't post on website directions",Richmond County,North Carolina,Report 26013: Deer hunter finds possible footprint near Ellerbe,35.0554,-79.88049000000002,2008-10-18,26013.0,Class B,dnppqm8u98
4263,14,"I was coming from Seagrove city limits on Ridge Rd. It was about a mile from city limits in a patch were there are woods on both sides of the road, right as you round a curve.",Randolph County,North Carolina,Report 42580: Motorists have a possible late night sighting outside Seagrove,35.56577,-79.75537,2012-08-17,42580.0,Class B,dnr634ecth
4264,15,south of roxboro near hurdle mills,Person County,North Carolina,Report 8804: Man has afternoon sighting and finds scat on his property near Flat River,36.31625,-79.03025,1997-11-15,8804.0,Class A,dnry9e5vmx
4265,16,"Near Hampstead, Pender County, North Carolina. North of Wilmington, NC, on the south-east part of the state. Nearest major road is Highway 17 (Market Street).",Pender County,North Carolina,Report 3336: Person awakes to a 'howling' or 'wailing' sound just outside the house; he compares the sound to a recorded howl of a bigfoot,34.3924,-77.7485,1998-03-31,3336.0,Class B,dq0ewucq28
4266,17,"Pasquatank County NC and the property was on/near the Pasquatank River, near Elizabeth City and the Great Dismal Swamp.",Pasquotank County,North Carolina,"Report 3335: Deer hunter witnesses a large, gorilla like animal",36.3715,-76.29115,1982-10-01,3335.0,Class A,dq3wzvnrr7
4267,18,,Orange County,North Carolina,Report 9212: Rural residents disturbed by nighttime activity near Buffalo Creek,36.2058,-78.968,2004-05-12,9212.0,Class B,dnrvgp1604
4268,19,"On the military reservation Camp Lejuene marine corps base approximately 5 miles from Highway 24 in Hubert, North Carolina.",Onslow County,North Carolina,Report 1939: Youth's presence startles unknown animal,34.6894,-77.2914,1965-10-01,1939.0,Class A,dq1j35n07u
4269,20,"Near Hwy 43 on Hunter Hill Rd and Old Carriage Rd. in Rocky Mount, N.C. Both incidents were in this area - twenty years apart.",Nash County,North Carolina,Report 26076: Woman recalls watching a bigfoot cross the road while riding with her mother near Rocky Mount,36.0089,-77.90525,1979-07-18,26076.0,Class A,dq2sg5pph1
4270,21,"220south north of Candor,NC",Montgomery County,North Carolina,Report 15492: Road-crossing sighting by motorist on Hwy 220 north of Candor,35.30773,-79.75644,1990-06-30,15492.0,Class A,dnr2c5e4kj
4271,22,it start a U sounds like you -are -e  national forrest its in stanly county,Montgomery County,North Carolina,Report 8983: Campers have morning sighting in Uwharrie National Forest,35.4449,-80.0616,2004-06-12,8983.0,Class A,dnr1dhsct8
4272,23,,Montgomery County,North Carolina,Report 27906: Unknown early morning visitor heard by a youth leader in the Uwharrie National Forest,35.31924,-80.03551,2010-12-04,27906.0,Class B,dnr0ftxvmr
4273,24,,Montgomery County,North Carolina,Report 41040: Campers awakened by heavy bipedal footsteps in Uwharrie National Forest,35.43787000000001,-80.69763,2011-10-24,41040.0,Class B,dnq9eemb8c
4274,25,Where the Dutchman and Uwharrie recreational trails cross take the North section.  On a Topo map it is the first campsite at the creek to the right at the bottom of the hill.  There are timbers around a fire pit.  You can see it as you come down the large hill.,Montgomery County,North Carolina,Report 47026: Camper is subjected to possible intimidation behavior in the Uwharrie National Forest,35.35635999999999,-80.01653,2014-11-08,47026.0,Class B,dnr15hmtxx
4275,26,"Woodrun Dutchmans creek trailhead, sparsely used atv trail conjoined there. I walked around near where the worn down ""town"" was and heard the knocks toward the left but the cry came from around the back side of the building.",Montgomery County,North Carolina,Report 49906: Morning hiker hears possible knocks and strange vocals in the Uwharrie National Forest,35.31330999999999,-80.00272,2015-09-24,49906.0,Class B,dnr0gkxfcw
4276,27,Uwharrie National Forest,Montgomery County,North Carolina,Report 50074: Possible encounter scares a camper from his hammock while in the Uwharrie National Forest,35.46955,-80.08778000000002,2015-10-25,50074.0,Class B,dnr1c91c57
4277,28,It was on the stand line G. Turn off of Red Bud road and onto Wildlife Rd.,Nash County,North Carolina,,,,,39855.0,Class A,
4278,29,"East side shoulder of US-17 approximately one or two miles north of the town of Holly Ridge, NC",Onslow County,North Carolina,Report 31303: Early morning traveler recalls roadway sighting near Holly Ridge,34.509170000000005,-77.53445,1983-10-02,31303.0,Class A,dq0u7djnkr
4279,30,"Just on the edge of Onslow county,  North Carolina,  about 25 miles from Hampstead,  about 15 miles off of US 421  on Hwy 51.  I think is the Hwy number.",Onslow County,North Carolina,"Report 3334: Man hits 7 foot tall, reddish-brown creature with his car, then is pursued by the creature",34.7576,-77.5873,1987-07-15,3334.0,Class B,dq0vdrqtsy
4280,31,From Hubert you can take Hwy. 172 to where it meets Hwy 17. From that intersection look to the right & you can't miss the pecan tree.,Onslow County,North Carolina,Report 9750: Motorist observes bipedal animal shaking a pecan tree near Camp LeJeune.,34.53784,-77.50434,1999-07-16,9750.0,Class A,dq0ukr7j9b
4281,32,Camp Lejeune military base,Onslow County,North Carolina,Report 24334: While training a U.S. Marine witnesses a large creature near Camp LeJuene,34.404340000000005,-77.23759,2005-02-10,24334.0,Class A,dq15drj7c9
