index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
2074,0,"Vincent, Ohio (In theWayne National Forest)",Washington County,Ohio,Report 4983: Sighting and vocalizations at a home in Wayne National Forest,39.38745,-81.67339,1971-08-01,4983.0,Class A,dpjbj6r280
2089,1,,Washington County,Ohio,"Report 3180: Early evening sighting by two children, near Layman",39.40877,-81.73172,1978-07-04,3180.0,Class A,dpjbhnhu8z
2090,2,"Between Whipple and Lower Salem, Ohio.",Washington County,Ohio,Report 7220: A man relates a series of occurrences on the family farm involving an upright walking hair covered creature,39.54739,-81.39101,1978-11-01,7220.0,Class A,dpn0gzkuhp
2091,3,A few miles off State Route 676 on a township road.,Washington County,Ohio,Report 4073: White hair covered creature seen at the edge of a cornfield,39.46019,-81.54855,1984-07-04,4073.0,Class A,dpn02rd0m0
2092,4,It's roughly four miles from the four way stop in Barlow by the fairgrounds going towards Marietta.,Washington County,Ohio,Report 7085: Three boys playing games witness a huge creature walking through their front yard,39.3731,-81.65929,1990-07-01,7085.0,Class A,dnvzvz9sbt
2093,5,Wayne National Forrest,Washington County,Ohio,Report 26830: Group finds possible Bigfoot track in Wayne National Forest - w/photos of track and cast,39.42635,-81.37085,2009-10-31,26830.0,Class B,dpn0k37e1u
2316,6,Off of the Loveland Ohio bike trail off of Adams Road.,Warren County,Ohio,Report 46635: Father and son have multiple encounters outside Cincinnati,39.13595,-84.17227,2015-01-22,46635.0,Class A,dnunss7x7v
2317,7,"In Union County Ohio, near the village of Byhalia,",Union County,Ohio,Report 4981: Late night encounter by Coon hunters near Byhalia,40.47326,-83.44371,1983-10-31,4981.0,Class B,dphwjpyjud
2318,8,North side of State route 36 east of Crickethill Drive.,Tuscarawas County,Ohio,Report 32620: Memory told of observing a large creature while hunting just north of Newcomerstown,40.28488,-81.58699,1983-11-28,32620.0,Class A,dpjvpmwhmm
2319,9,Off of State Route 62 on Logangate Road in Liberty Township.,Trumbull County,Ohio,Report 5262: Woman see's a large bear like thing standing next to dumpster. The next day she finds large human like five toed tracks where it was standing heading into the woods,41.1462,-80.62124,1997-11-01,5262.0,Class B,dpqdj6mmuz
2320,10,,Summit County,Ohio,Report 7431: Nine year old playing hide and seek comes face to face with a small ape-like creature,41.10765,-81.4311,1978-09-01,7431.0,Class A,dpq1fgrtmv
2321,11,,Shelby County,Ohio,Report 841: Boy has several late night encounters near Sidney,40.24354,-84.18491,1982-11-01,841.0,Class A,dphhuq47t7
2322,12,Camp Oyo Boy Scout Camp on Rt. 125,Scioto County,Ohio,Report 4975: Sighting at Camp Oyo Boy Scout Camp on Rt. 125,38.77727,-83.18179,1977-10-31,4975.0,Class B,dnuue5hvgz
2323,13,About three miles south on St Rt 19 from St Rt 20,Sandusky County,Ohio,Report 58458: Daytime road crossing on State Route 19 just outside of Fremont,41.29247,-83.05098000000002,2017-10-28,58458.0,Class A,dpkfyjh45f
2324,14,"Southeast of Clarksburg, Ohio  towards Chillicothe,",Ross County,Ohio,"Report 7133: Father, son and cousin enounter a large hair covered creature while wading through a creek",39.49265,-83.11421999999997,1980-07-01,7133.0,Class A,dphbstqj67
2325,15,Near and around Lake Jackson. Also several howls in the area around Hay Hollow. The SCARRY HOLLOW (my name for it) is located on top of Hay Hollow. EXACTLY located across from (NW Line Of Sight) from old white church.,Ross County,Ohio,Report 16489: Camper describes trees shaken and possible encounter near Waverly,39.10495,-82.79665,2002-09-07,16489.0,Class B,dnvn7yv6f5
2326,16,The closest road is State Route 772 and State Route 50.  There is a mountain called Coppers Mountain.,Ross County,Ohio,Report 7932: A young hunter witness's a seven foot tall creature less than 25 feet away,39.20212,-83.13585,2002-12-01,7932.0,Class A,dnuzh0w2fk
2327,17,"Picnic Point, off State Route 125, near the Riffee 3C camp",Scioto County,Ohio,Report 10421: A couple has a frightening encounter in Shawnee State Forest.,38.68516,-83.12916,1982-07-21,10421.0,Class B,dnuuh67jqh
2328,18,Off of State Route 23,Scioto County,Ohio,"Report 6062: Three teenagers witness a ""thing"" crouched on the road, stand up, take three quick steps, and jump over the reeds down a hill",38.74899,-82.97854,1986-10-01,6062.0,Class A,dnuury0c5z
2329,19,Southwestern portion of the Shawnee State Forest,Scioto County,Ohio,"Report 4976: Witness has two sightings, ten years apart in Cut Rock area",38.83628,-83.12873,1990-10-01,4976.0,Class A,dnuuumgt8p
2330,20,A few miles off of State Route 139.,Scioto County,Ohio,Report 5229: Man recalls seeing a strange bipedal animal during his one and only hunting trip,38.79215,-82.93085,2004-06-25,5229.0,Class A,dnvh8vgseh
2331,21,campsite xxx at the campgrounds of Shawnee National Forrest Park,Scioto County,Ohio,Report 27972: Family camping at Shawnee State Forest has possible encounter,38.69322,-83.12891,2010-07-06,27972.0,Class B,dnuuh7gkk4
2332,22,"North end of State Rest area, NW qaudrant",Scioto County,Ohio,Report 44173: Possible tracks found by a man and his dog at a rest stop near Piketon,38.9506,-83.02551,2014-02-14,44173.0,Class B,dnuvwdwxtq
2333,23,i live at the end of the street its leander st it connects into trump rd,Stark County,Ohio,Report 24435: Man sees silhouette of an 8'-9' tall creature looking back at him from a cornfield near Canton,40.79362,-81.32337,1976-08-10,24435.0,Class B,dpq0j6q0h1
2334,24,State Route 21 south out of Navarre to Hensel Road. Make a left and follow about 100 yards to Shelter Road and turn right. We lived the right hand side about two houses before Redmont Drive. The strip mines and woods were right behind the houses in the area.,Stark County,Ohio,"Report 4484: A series of sightings, screams, and smells near an abandoned strip mine",40.67979,-81.51075,1978-07-01,4484.0,Class A,dpnp3jt8vy
2335,25,"My families property is just off of Route 30, northwest of Minerva. By the way on the Cayton report the directions are wrong. Paris Township does not go east of Minerva. I'm not sure if this was just a mistake or if it was done intentionally. You can verify this with a map of Ohio.",Stark County,Ohio,"Report 8406: Encounters with a hairy creature in the same area as the well known ""Minerva monster flap.""",40.7343,-81.15621999999998,1978-08-01,8406.0,Class A,dpnr9pry7p
2336,26,"U.S. Route 30, west of Minerva, Ohio in Paris Township; Stark County",Stark County,Ohio,Report 4977: Ron Schaffner case report: The 1978 Minerva Flap,40.74451,-81.0758,1978-08-21,4977.0,Class A,dpnrg163uz
