index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
2073,0,"The creature crossed from one cattle pasture to another, it may have been leaving a pond on the east side of the highway.",Washita County,Oklahoma,Report 9765: Motorist and children have daylight sighting near Burns Flat.,35.3011,-99.1702,1973-09-28,9765.0,Class A,9y32z667yc
2581,1,"On the edge of town, new housing. West of Cincinnati near end of 46th st. N.",Tulsa County,Oklahoma,Report 34555: Woman recalls her nighttime face to face encounter at her window outside Tulsa,36.13222,-95.79677,1966-08-15,34555.0,Class A,9y7vs1dvmm
2582,2,"It's been a long time, if you need specifics I can find out. I now live in Tulsa wich is NE OK and Frederick is in the opposite corner in SW Oklahoma. The nearest would be south of county line road about a mile as you come in to the airport main entrance.",Tillman County,Oklahoma,Report 36011: Man recalls night time sighting at an airport outside Frederick,34.38638,-98.99414,1987-03-19,36011.0,Class A,9y1ee7fejm
2583,3,"On personal property north of Vian, OK",Sequoyah County,Oklahoma,Report 23628: Possible tracks found in yard north of VIan,35.56637,-94.98001,2008-04-18,23628.0,Class B,9yk6qdttj7
2584,4,The area had very few homes at the time and the road was lightly traveled.,Seminole County,Oklahoma,Report 6644: Deer hunters have daylight sighting near Seminole.,35.26808,-96.60222,1974-11-04,6644.0,Class A,9y729u27mn
2585,5,"1755 NORTH HIGHWAY 66, CATOOSA, OKLAHOMA",Rogers County,Oklahoma,Report 7062: Woman has sighting through dental office window.,36.18889,-95.74556,2003-10-09,7062.0,Class A,9y7vv7bpwd
2586,6,"7.5 miles north of Reydon, OK",Roger Mills County,Oklahoma,"Report 56829: Hunters experience possible vocals, find nests, get screamed at over three-day hunting weekend north of Reydon",35.76152000000001,-99.93007,1983-10-01,56829.0,Class B,9y2gqn1juw
2587,7,"One Half mile east of S.Canadian River,heavily wooded area, a lot of deer and other game. Several creeks running from here to river.",Pontotoc County,Oklahoma,Report 3731: Child watches fawn being chased near Canadian River,34.86111,-96.66528,2002-02-06,3731.0,Class A,9y5q2662xt
2588,8,,Pittsburg County,Oklahoma,Report 10595: Family has early morning encounter at small bridge,34.814170000000004,-95.65417,2005-02-10,10595.0,Class A,9y5yp3dz0r
2589,9,IT IS SOUTH OF PERKINS ON RIVER ROAD OUT SIDE OF TOWN ON YOUR LEFT HAND SIDE.,Payne County,Oklahoma,Report 4134: Man has close moonlit encounter,35.97389000000001,-97.03333,1997-11-15,4134.0,Class A,9y6uxuy7pe
2590,10,about 1 mile south of wooloroc on highway 123,Osage County,Oklahoma,Report 26543: Nightime roadside sighting south of Woolaroc,36.62116,-96.12164,2009-08-07,26543.0,Class A,9ye8kdwmer
2591,11,"Ravine at entrance to Hafer Park, at 9th and Bryant.  The ravine runs parallell to Bryant. From I-35, take Edmond Road (2nd St) west to Bryant, then south on Bryant to 9th.  This is the entrance to Hafer Park.",Oklahoma County,Oklahoma,Report 4081: Early morning sighting of young sasquatch in snow,35.64389,-97.45694,1982-01-15,4081.0,Class A,9y6dy2f08w
2592,12,"Directions are:From Highway 75 North of Bartlesville, Oklahoma take Highway 10 East about 6 miles to Wann,Oklahoma.Once you pass the convenience store in Wann the field is just outside of the city limits on the North side of the road.",Nowata County,Oklahoma,Report 5620: Black bigfoot observed from highway by route driver and son,36.91528,-95.80417,2003-10-20,5620.0,Class A,9yef5bjx14
2593,13,"Incident occurred in the Northeast corner of NE 1/4 SE 1/4 Sec. 14 T14N R15E in western Muskogee County, Oklahoma. The area was about 4.5 miles south of the junction of Highways 16 and 72 west of Muskogee and 2 miles west of Highway 72. The creature, or whatever it was, was observed near a bridge above Cane Creek.",Muskogee County,Oklahoma,Report 1296: A geologist witnesses a reddish-brown animal hanging from a low branch over the bridge on the opposite bank of the creek from him.,35.70166,-95.70208,1997-09-28,1296.0,Class A,9y7gn5rc5z
2594,14,A creek where the creature crossed the road and a Federal WPA water impoundment a 1/4 mile to the West.,Muskogee County,Oklahoma,Report 8591: Oil well owner and rig hand have road crossing encounter.,35.7575,-95.60667,2004-05-03,8591.0,Class A,9yk52mmqe1
2595,15,,Oklahoma County,Oklahoma,Report 8381: Young man has midnight close encounter.,35.42014,-97.21555,2004-03-26,8381.0,Class A,9y6ceb1c32
2596,16,East of Ponca City on highway 60.  South of the highway.,Osage County,Oklahoma,,,,,49909.0,Class B,
2597,17,"6 miles west on highway 33, 1 mile north, northeast corner.",Payne County,Oklahoma,Report 2788: Rural family's dog chases young sasquatch,36.02306,-97.1225,1997-12-30,2788.0,Class A,9y6uvvv999
2598,18,Specific instructions omitted,Payne County,Oklahoma,,,,,25553.0,Class B,
2599,19,,Pushmataha County,Oklahoma,Report 32689: Possible vocalizations and rock throwing encounter near Albion,34.6021,-95.11875,2011-11-24,32689.0,Class B,9yhkge0eu6
2600,20,"It is the ""four wheeling"" penninsula right next to the Appalacia Bay boat ramp. It is closed right now due to the lake level being up 15+ feet, so it is an island now, so whatever we saw will still be there unless it can swim.",Tulsa County,Oklahoma,,,,,26005.0,Class B,
2612,21,The Chickasaw National Recreation Area is quite easy to find as it is the only National Park in Oklahoma.  It is located in the city of Sulphur off of Highway 7.,Murray County,Oklahoma,Report 2032: Creature observed kneeling beside a creek late at night,34.495,-96.972,1996-10-31,2032.0,Class A,9y5h1re5uw
2613,22,"Located below a hill or ridgeline, approx. 2 or so miles from a lake. Wooded area very nearby. 5 miles south of Henryetta, Oklahoma on Lake Road.",McIntosh County,Oklahoma,"Report 12712: Woman remembers large bipedal creature running thru pasture at night, south of Henryetta",35.36895,-95.97023,1986-08-25,12712.0,Class A,9y7c0nsx5d
2614,23,See report.,Mayes County,Oklahoma,Report 57944: Memory told of having rocks thrown while in a tree stand near Murphy,36.879,-95.1695,1987-10-14,57944.0,Class B,9ys3f3eetz
2615,24,,Marshall County,Oklahoma,Report 1297: Man and his mother witness a Sasquatch while walking in the woods.,33.89444,-96.75361,1997-07-15,1297.0,Class A,9y50y661mm
2616,25,,Major County,Oklahoma,,,,,26943.0,Class B,
2617,26,We were hunting in the Hog pen area of the WMA.,Love County,Oklahoma,Report 10074: Hog hunter has dusk encounter in Love Valley Wildlife Management Area,33.82444,-97.07361,2004-12-22,10074.0,Class A,9y4brj91su
2618,27,,Logan County,Oklahoma,Report 1298: Morning road crossing sighting near the town of Edmond.,35.74111,-97.479,1997-07-07,1298.0,Class A,9y6emf3zn9
2619,28,From the city of Tryon; approx. 1 to 2 miles west on Highway 105 at the peak of a hill.,Lincoln County,Oklahoma,Report 5681: Rural commuter sees large animal shift from quadrupedal to bipedal movement,35.86972,-96.968,2003-01-31,5681.0,Class A,9y7h13yh3b
2620,29,,Latimer County,Oklahoma,Report 2789: Camper says a sasquatch entered a cabin of sleeping girls.,35.00278,-95.34111,1977-07-15,2789.0,Class B,9yhpnkn9zp
2621,30,The sighting was north of Mannsville OK.,Johnston County,Oklahoma,,,,,24512.0,Class A,
2622,31,it was about 3 miles east of hwy 84.  not too far from the mountain.  There was creek that ran through the pasture.,Hughes County,Oklahoma,Report 5817: Woman recalls childhood encounters.,35.27056,-95.97,2003-02-11,5817.0,Class A,9y7b8hucbu
2623,32,"The sighting occurred 5 miles north and 2 miles west of Gould, Harmon County, Oklahoma.",Harmon County,Oklahoma,Report 1303: Sisters observe tall hairy creature running away from them,34.73153,-99.81514,1942-04-01,1303.0,Class B,9y1j8dsvfd
