index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
2072,0,"Logging roads north west of Yamhill, OR, about 15 miles.",Yamhill County,Oregon,,,,,703.0,Class B,
2664,1,"A farm near David's Hill, Forest Grove, Oregon (Washington County). Forest Grove, a small, older rural town about 20 miles WEST of Portland, abuts the dense forests of the Oregon Coast Range.",Washington County,Oregon,,,,,700.0,Class A,
2665,2,I've never been back since. I couldn't tell you anything about the exact location.,Wasco County,Oregon,Report 8621: Boy scout hears repeated screams,45.4051,-121.424,1974-08-15,8621.0,Class B,c21dkctxzs
2666,3,I was lost somewhere in the mountains and do not know the location.  See report.,Wallowa County,Oregon,Report 41634: Memory told of observing bi-pedal creatures while driving on an unimproved dirt road in the Wallowa Mountains east of Cove,45.44986,-117.7273,1972-07-01,41634.0,Class B,c2h691cse5
2667,4,"It has been so long ago, I couldn't tell you exactly where it was, just that the incident is very vivid in my memory.",Union County,Oregon,,,,,27711.0,Class B,
2668,5,"Beginning from Pilot Rock, Oregon, go south on E. Birch Creek Rd. for about 18 miles,  traveling around the east side of Indian Lake to the campground located on the NW side of the lake.",Umatilla County,Oregon,Report 15744: Possible screams heard by campers near Indian Lake,45.3712,-118.5518,1974-08-15,15744.0,Class B,c25dn794qu
2669,6,Along the Wilson River a mile or so below the Jones Creek campground,Tillamook County,Oregon,,,,,691.0,Class B,
2670,7,About five miles south of Hwy 22 on an old logging dirt road.  We were camping on the western most side of Polk County.,Polk County,Oregon,Report 24399: Elk hunter watches large and small upright animals cross beneath power lines.,45.06881,-123.6956,1982-10-20,24399.0,Class A,c2003hx8ge
2671,8,"From Mt. Hood the Sandy River flows due west through the Hoodland Corridor. It cascades past the communities of Welches, Brightwood and Sandy, then turns north to enter the Columbia River near Troutdale, which is 10 miles east of Portland, Oregon.",Multnomah County,Oregon,Report 13037: Possible nest nest and food remains found by retired soldier near the Sandy River,45.4861,-122.277,1970-07-15,13037.0,Class B,c214c82xer
2672,9,From I-84 take the Troutdale exit and go up the Sandy River to the Job Corps camp. On the left side of the road there is a large sculpture of a dragon made by a student at the gate.,Multnomah County,Oregon,Report 7789: Members of Job Corps group have several encounters,45.5145,-122.3352,1979-10-15,7789.0,Class A,c214bjwjpj
