index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
2071,0,"I would rather not have exact location (listing the nearest road) to repect the privacy of the family that still owns the property. I have long since had a falling out with my friend at the time and don't feel he or they would like being approache about this. I like my own privacy respected; so I must accord others the same. The general area at that time was more open farmland with some large housing developements (in which I lived) within a mile. There were a good deal of homes scattered here and there and others in smaller developments. A very large animal like a Sasquatch could conceivably navigate (migrate) through an area like this at night using farmland as cover; but absolutely not stay very long in an area like that even then without revealing it's presense. I can give you more specific details on topography. Farmland opens up eventually much more to the north with a State Park (Gifford Pinchot) at the north end of the county. Southern end of York county where the  sightings occurred is a more likely area given in terms of what I've read of similar topography of other sighting then. Also much more rural and forested in the early ""70's.",York County,Pennsylvania,,,,,8000.0,Class B,
2094,1,"Peach Bottom Township, Village of Delta on the Mason Dixon Line near Cardiff and Whiteford Md. About 6 miles from where the Muddy Creek joins the Susquehanna  River down in a hollow south of the Muddy Creek between SR74 and SR851 lies a pastoral hollow near the creek where there is a clearing served by an old logging trail. During the summers of 1973 through 1976 inclusive there were repeated sightings of a bigfoot like creature that  was recounted by many of the students who attended Kennard Dale High School and would camp and party in that hollow during the summer. Also there were several abandoned Slate quarrys heavily wooded and they provided an incredible degree of nearly inaccessable habitat for the alleged beast.",York County,Pennsylvania,,,,,3572.0,Class B,
2867,2,"THIS IS A BIG TRACK OF LAND 2000 ACRES,NEAR HANCOCK NY,PA BORDER LINE.",Wayne County,Pennsylvania,,,,,1005.0,Class A,
2868,3,,Washington County,Pennsylvania,"Report 50123: Audio recording of possible screams, growls, and fight with a dog from the Late 70's near Prosperity",40.04755,-80.25645,1978-10-01,50123.0,Class B,dpngvdrjch
2869,4,,Warren County,Pennsylvania,,,,,23695.0,Class B,
2870,5,Laurel Hill (Above the abandoned Laurel Hill Pa. Turnpike Tunnel. Nearest Road: Approximately 1/2 mile due south of Pa. Turnpike Laurel Ridge Bypass.,Somerset County,Pennsylvania,,,,,3571.0,Class A,
2871,6,"It was about 3 miles south on 872 from route 6. Just as 872 starts as a long hill ,there is a dirt road that leads off to the left.Right were the dirt road meets the hyway climb that hill to the top..that is were the event occured.",Potter County,Pennsylvania,"Report 24301: Man remembers hearing strange vocalizations and seeing a hairy, upright figure while hunting in Sweden Valley",41.70813,-77.99314,1987-11-28,24301.0,Class B,dr2t30xpkn
2872,7,,Perry County,Pennsylvania,,,,,2618.0,Class A,
2873,8,Omitted for privacy reasons.,Northampton County,Pennsylvania,Report 58534: Deer hunter has a dusk sighting near Wind Gap,40.8495,-75.327,2017-11-17,58534.0,Class A,dr62mukt9d
2874,9,,Monroe County,Pennsylvania,Report 24442: Woman remembers witnessing a tall hairy figure in the Pocono Mountains,41.115,-75.205,2008-08-15,24442.0,Class A,dr69bsv2hr
2875,10,,Mifflin County,Pennsylvania,Report 22599: Hunter has unusual experience while spring turkey hunting,40.61798,-77.62406999999997,1980-05-15,22599.0,Class B,dr0z1d7buh
2876,11,"the directions are kinda hard to explain but if u would kno where Blain, manassa, or Robinson Road are i might be able to explain it. Get back to me with that information please, Thank You!",Perry County,Pennsylvania,,,,,9694.0,Class A,
2877,12,Roger's lot.,Potter County,Pennsylvania,Report 10805: Campers hear loud vocalizations and find footprints near Loucks Mills.,41.845,-77.7011,1996-10-26,10805.0,Class B,dr2wpceuc1
2878,13,Withheld per request.,Potter County,Pennsylvania,,,,,3926.0,Class B,
2879,14,"6 mi. east of Coudersport PA. on US 6.  I was coming up Denton Hill, just past ski slopes.",Potter County,Pennsylvania,Report 8633: Trucker has nighttime sighting on Denton Hill east of Coudersport,41.7655,-77.8768,2004-05-09,8633.0,Class A,dr2teg5vej
2880,15,"I don't remember specific directions, although I-76 is not far.  The nearest small towns were Boswell and Jennerstown.  They are too small to be on most maps.  The area was in the Laurel Mountains.  There are a few ski resorts (some closed down), retreat cabins and very thick woods with many backroads.  It is a very hilly and wooded area.",Somerset County,Pennsylvania,,,,,580.0,Class B,
2881,16,"In yard of house near heavily wooded, rocky area with a rock quarry just over the ridge, and a nearby open farm field.",Susquehanna County,Pennsylvania,,,,,8305.0,Class B,
2882,17,"it is on rual route 706west out of Montrose, in Jessup township. dense woods off of our property and a mountain behind them. a creek on property also.Heavy deer population in this area.",Susquehanna County,Pennsylvania,Report 25085: Woman witnesses eyes peering into her living room near the rural town of Montrose,41.79985,-75.9799,2008-12-19,25085.0,Class B,dr3vz13ju0
2883,18,,Wayne County,Pennsylvania,Report 43901: Possible nighttime road crossing near Bethany,41.50383,-75.23662,2014-01-19,43901.0,Class B,dr6kpgw37d
2884,19,camp fairfield,Westmoreland County,Pennsylvania,Report 23956: Man recounts boyhood sighting at Fairfield Summer Camp near Ligonier,40.32247,-79.16816999999998,1967-09-14,23956.0,Class A,dpptqkrrrv
2885,20,"I don't know know the names of the roads, all I can say is it was on the outskirts of Keystone State Park, Derry Pa.  This is a little back road that leads to the village of Superior, Derry Pa.",Westmoreland County,Pennsylvania,,,,,1089.0,Class A,
2886,21,route 780 from new kensington  towards apollo turn left at alcoa research go about 1 to 2miles to intersection see sign oak lake golf course your there,Westmoreland County,Pennsylvania,Report 14677: Late night road crossing near Apollo,40.5258,-79.6575,2006-09-02,14677.0,Class A,dppqe37pvs
2934,22,From the red light in Sandy Lake take 173 north to Mill Street stay on Mill Street it turns into Coal Road go about 1 mile you will cross a small creek in a valley the incident happened near the back of the property.,Mercer County,Pennsylvania,Report 48013: Memory told of a close daylight encounter behind a home outside Sandy Lake,41.21365,-80.26563,1978-10-15,48013.0,Class A,dpqfmw8qgm
2935,23,Route 15 north between LIBERTY and TROUT RUN,Lycoming County,Pennsylvania,,,,,5563.0,Class A,
2936,24,Back side of Everhart Street,Luzerne County,Pennsylvania,Report 51535: Possible nighttime sighting from a home SW of Scranton,41.32501,-75.74288,2016-03-23,51535.0,Class B,dr65h6vxwu
2937,25,pond with koi fish....geese bed at night in pond....deer in area use for water hole,Lehigh County,Pennsylvania,,,,,43853.0,Class B,
2938,26,The area lies very close to the river hills of the Susquehanna where there is alot of cover and not alot of people.,Lancaster County,Pennsylvania,Report 28777: Memory of finding tracks in snow and the attempt to keep a record south of Quarryville,39.72785,-76.2074,2011-07-20,28777.0,Class B,dr1f1b5rwb
2939,27,"My father could give better directions than myself, but since this occured so long ago I doubt that a visit to the site would be helpful",Jefferson County,Pennsylvania,,,,,1134.0,Class A,
2940,28,"Recently timbered, strip jobs",Indiana County,Pennsylvania,,,,,4117.0,Class A,
2941,29,,Greene County,Pennsylvania,,,,,3566.0,Class A,
2942,30,"Meadowgrounds,State Game land # 53",Fulton County,Pennsylvania,,,,,3565.0,Class B,
2943,31,,Franklin County,Pennsylvania,,,,,3564.0,Class B,
