index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
2069,0,"York South Carolina at Walnut Farm, Piedmont Area.",York County,South Carolina,,,,,977.0,Class A,
2993,1,"Williamsburg County.  Highway 521 between Andrews, S.C. and Manning, S.C.",Williamsburg County,South Carolina,,,,,976.0,Class A,
2994,2,"The place is a little bridge a few miles east of Sumter, SC whichis next to Shaw Air Force Base. There also was a sign that said, the black or dark swamp or something like that.",Sumter County,South Carolina,,,,,971.0,Class A,
2995,3,"South of Chesnee, S.C. about 1/2 mile from the nearest road.",Spartanburg County,South Carolina,Report 13674: Sightings around a property near Chesnee,35.148,-81.861,1969-07-18,13674.0,Class B,dnjzcnqxuq
2996,4,,Spartanburg County,South Carolina,,,,,417.0,Class A,
2997,5,,Sumter County,South Carolina,,,,,7865.0,Class B,
3029,6,on Fort Jackson i would say to the south,Richland County,South Carolina,Report 5381: Solider describes late night encounter on Fort Jackson,34.0431,-80.80685,1964-10-10,5381.0,Class B,dnn99jq5rv
3030,7,LONG STRAIGHT ROAD KNOWN AS FAIR LANE FLATS ON  HWY 183,Pickens County,South Carolina,Report 16962: Possible early morning sighting along country road near Pickens,34.52414,-82.38998000000002,1981-07-11,16962.0,Class A,dnjkmhvmwq
3031,8,,Laurens County,South Carolina,Report 24235: Man recounts watching a sasquatch cross road near Cross Anchor,34.53654,-81.70052,1991-12-06,24235.0,Class A,dnjukz5mzv
3032,9,Bethel Road near the Catawba River close to Highway 200,Lancaster County,South Carolina,,,,,4839.0,Class A,
3033,10,"After leaving Liberty Hil, heading north on SC Highway 97.  The road is a decending grade through a hilly area for about 5 miles or so, with several curves.  The sighting was probably 3 to 4 mikes into the decent.",Kershaw County,South Carolina,,,,,4196.0,Class A,
3034,11,,Horry County,South Carolina,Report 11487: Security policeman has nighttime sighting at Myrtle Beach Air Force Base,33.72,-78.9211,1974-04-18,11487.0,Class A,djzzu4e3jp
3035,12,"Between Estill and Hampton, near the Salkehatchie River.",Hampton County,South Carolina,,,,,975.0,Class B,
3036,13,Hwy 11 onto Old Settlement Rd dont know the address but it is the first house on left off hwy 11.,Greenville County,South Carolina,,,,,791.0,Class B,
3037,14,"[The address provided, but was removed from public posting per request of witness]",Fairfield County,South Carolina,Report 14611: Possible vocalizations heard by new residents in an unpopulated rural area near the Broad River,34.421,-81.396,2006-05-08,14611.0,Class B,dnn5gf1hze
3038,15,Edited out per request of witness.,Dorchester County,South Carolina,Report 17306: Early morning sighting by paper carrier in rural Ridgeville,33.096,-80.316,2007-01-14,17306.0,Class A,djyuk2gwjt
3039,16,ne south carolina betwwen darlington and dillon on the great pee dee river about 1 mile up river from the cashua ferry boat landing,Darlington County,South Carolina,Report 2549: Hairy humanoid biped seen diving into the Great Pee Dee River,36.86345,-79.65835,1985-08-15,2549.0,Class A,dnx3eqf91v
