index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
2097,0,The area is near I-40 and the Lebanon Municipal Airport.  The new I-840 has been built since the events.,Wilson County,Tennessee,,,,,882.0,Class B,
2098,1,The location is in the north eastern part of Middle Tn. It's only half an hour to an hour away from the cumberland plateau area. It was in greenvale tn. in wilson co.   No further directions please,Wilson County,Tennessee,Report 24799: Hunter hears loud uknown vocalizations near Greenvale,35.9978,-86.2011,2008-10-27,24799.0,Class B,dn6sy3nq2u
2099,2,Rural Wilson County Tennessee,Wilson County,Tennessee,Report 28005: Two witnesses recount a close daytime encounter with a very curious creature near Lebanon,36.25466,-86.15759,2010-07-16,28005.0,Class A,dn6wprvyww
2100,3,Private Drive that has bridge crossing a creek. Runs along power lines.,Wilson County,Tennessee,,,,,30863.0,Class A,
3066,4,"Sighting occurred in the state of Tennessee, Williamson County, South Lick Creek Road. Nearest Town: Leiper's Fork",Williamson County,Tennessee,,,,,6463.0,Class A,
3067,5,"Near north Indian Creek Campground on Hwy 107 North, halfway between the town of Erwin TN and Buladean NC on the Unaka mountain range as part of the Cherokee National Forest.",Unicoi County,Tennessee,Report 37267: Close daylight observation by a fisherman at a trout stream near Unicoi,36.15588,-82.38587,2012-11-11,37267.0,Class A,dnmmtmbrq0
3073,6,Between Ruleman Rd. and Coon Valley Rd. on a slough bank in the Mississippi river bottom.,Tipton County,Tennessee,Report 415: 2 men hear vocalization while calling up coyoties,35.5035,-89.91499,1981-10-15,415.0,Class B,dn21czjyuu
3074,7,"From Gatlinburg,take Hwy 441(Newfound Gap Rd) towards Cherokee,NC.Just past the park entrance sign is where the sighting occurred.",Sevier County,Tennessee,"Report 23645: Sighting by motorist in the Great Smoky Mountains National Park, not far from the park entrance.",35.68449000000001,-83.53575,1970-04-01,23645.0,Class A,dnke505j5z
3075,8,"Rutherford county TN, near Walter hill community.",Rutherford County,Tennessee,,,,,6449.0,Class A,
3076,9,"Robertson County, Springfield, TN; New Cut Road near Old New Cut Road",Robertson County,Tennessee,,,,,6445.0,Class A,
3077,10,was on 61 in a hill down center,Roane County,Tennessee,,,,,35914.0,Class A,
