index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
2066,0,"Wythe county Virginia near Wytheville, looking at the map I guess this sighting was in  the Jefferson National Forest area. I remember after crossing over the W. Virginia border about 2 or 3 hours going by before the sighting occured off of I-77. So it would of occured around the border of Virginia and West Virginia.",Wythe County,Virginia,"Report 2285: Boy sees ""Bigfoot"" in the woods while looking out the car window",37.22647,-81.09017,1984-04-08,2285.0,Class A,dnw7f8zgyh
2109,1,"Peppers Ferry Road near Max Meadows, VA",Wythe County,Virginia,Report 15107: Possible vocalizations heard by a farmer near Max Meadows,37.00085,-80.8797,2003-10-23,15107.0,Class B,dnw6rxc1w6
2110,2,"Head on N I-81 Turn right onto VA-619 S/Major Graham Rd Continue to follow VA-619 S Turn right onto Red Hollow Rd/State Route 629 Destination will be on the right Wytheville State Fish Hatchery 1260 Red Hollow Road, Max Meadows, VA 24360",Wythe County,Virginia,Report 35981: Possible encounter behind a fish hatchery near Fort Chiswell,36.932,-80.89,2011-06-10,35981.0,Class B,dnw6p738qr
3413,3,"26485 Old Saltworks Rd. Meadowview, VA 24361 We are northeast of the intersection of Northridge and Old Saltworks Rd.",Washington County,Virginia,Report 37817: Possible incidents outside a home near Meadowview,36.76377,-81.9107,2012-11-16,37817.0,Class B,dntc0hdkqr
3414,4,"109 Trillium Trail Rd, Linden, VA.  About a mile southwest of cabin at stated address.",Warren County,Virginia,Report 36850: Honeymooners feel bone rattling growl while hiking the Appalachian Trail,38.9593,-78.02081,2012-10-17,36850.0,Class B,dqbt8s6fr7
3415,5,"Near Fenwick Drive, by the canal on Princess Anne Rd.",Virginia Beach City County,Virginia,Report 35467: Unexplained loud banging and whoops heard by a homeowner near Virginia Beach,36.7586,-76.0418,2012-05-19,35467.0,Class B,dq9cjesn3e
3416,6,Farm land and near the mountains!,Tazewell County,Virginia,,,,,45604.0,Class B,
3417,7,"Chippokes State Park, Virginia, just to the southeast of Surry, VA, while camping that evening/early morning.",Surry County,Virginia,Report 2286: Howling vocalization sounds heard by campers.,37.1694,-76.77447,1998-07-24,2286.0,Class B,dq97kyqx3n
3418,8,,Stafford County,Virginia,Report 30258: Nighttime road crossing observed by a father and daughter near Quantico Marine Corp Base,38.48342,-77.34673000000002,2003-09-13,30258.0,Class A,dqbfzvty4t
3419,9,In front of 410 Dry Fork Road at the edge of forest tree line,Smyth County,Virginia,Report 42643: Couple on their porch observe a tall biped chase a deer near Chilhowie,36.73225,-81.62195,2011-09-12,42643.0,Class B,dntbywusye
