index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
12,0,"Jefferson point, Decommisioned Submarine degausing station. ""Very private""",Kitsap County,Washington,Report 1809: Two witnesses see a crouched figure on the beach. It stood up and walked into the nearby woods,47.4549,-122.2825,1973-05-19,1809.0,Class A,c23jcqusg4
13,1,"It happened in the foothills of Mt. Adams at the Western end of the Yakima valley.  I don't know what the county was but I'm sure it was west of the city of Yakima, Washington on the East side of the mountain.  In 1941 there were very few roads into what was basically wilderness.  Only a few forest service roads went into the timber, unpaved.",Yakima County,Washington,Report 1689: A tall black creature covered with hair and very muscular was seen walking quickly across a clearing,46.24639000000001,-120.8681,1941-10-15,1689.0,Class A,c24p1dfs9p
14,2,Along the Naches River,Yakima County,Washington,Report 1686: Woman sees bigfoot on two occasions along the same road,46.71444,-120.6694,1996-08-30,1686.0,Class A,c261y055r4
15,3,"North slope of Divide Ridge, South of Rimrock lake, north of Strobach Springs at the ""headwaters"" of Short and Dirty Creek.",Yakima County,Washington,Report 1690: Hunters hear unusual animal stalking them at night.,46.5602,-121.1458,1996-11-01,1690.0,Class B,c23bgk02f6
16,4,Unmarked campsite on right side just past the turn for state campsites and boat launch.,Yakima County,Washington,Report 1462: Sound heard month earlier than another report in same area,46.87139000000001,-121.2981,2000-06-13,1462.0,Class B,c23dxu9mtk
17,5,"From Naches, Wa, head west on Highway 410 towards Chinook Pass. The turnoff to Bumping Lake is about 30 miles from the summit of Chinook Pass. We went on past Bumping Lake about 4 or 5 miles towards Deep Creek. It was the last 4-wheel drive trail before Deep Creek. This 4 wheel trail was about a mile long, ending in a swampy area.",Yakima County,Washington,Report 382: Campers hear screams and wood knocking near Bumping Lake,46.8733,-121.3051,2000-07-21,382.0,Class B,c23dxth2f2
18,6,"From Western Washington, take state hwy. 410 over the pass, past Ghost Lake and past Crystal Mountain. Exit at the Cedar Springs Campground Exit. Follow the Bumping River back until you reach Bumping Lake. The latitude is 46.873 deg-N and 121.300 deg-W. Elevation is 3426 ft.",Yakima County,Washington,Report 2268: Three campers near Bumping Lake hear vocalizations from Nelson Ridge,46.82167000000001,-121.2764,2000-07-25,2268.0,Class B,c23f2795zp
19,7,"On the Bumping Lake Rd, 3/4 of a mile up the trail to American Ridge, near Cougar Flats.",Yakima County,Washington,Report 1438: Barefoot tracks and whistling heard while hunting,46.93333,-121.2692,2000-10-28,1438.0,Class B,c23fbryqqy
20,8,,Yakima County,Washington,Report 3038: Evening sighting by motorist near Glenwood,46.0722,-121.3055,2001-06-11,3038.0,Class A,c21wpehn0b
21,9,Logging road above Rimrock Lake.,Yakima County,Washington,Report 3759: Elk hunters encounter large animal and hear vocalizations near Rimrock Lake,46.621,-121.0638,2001-10-29,3759.0,Class B,c23cjph50b
22,10,parker washington out side of yakima washington,Yakima County,Washington,Report 6347: Daylight sighting by residents near Yakima River,46.4984,-120.4474,2003-07-21,6347.0,Class A,c262e0ubu4
