index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
11,0,"Heading to the deep mine Poca #2, the airshaft would be on your right hand side. Look a little past the bridge where the stream flows south. All this is private property.",Wyoming County,West Virginia,Report 13237: Daylight sighting near an abandonned mining chamber near Amigo,37.58135,-81.29745,2005-12-03,13237.0,Class A,dnwjy13p0p
661,1,"There is a X-mas tree nursery before the entrance and only one road in, one road out.",Wetzel County,West Virginia,Report 12862: Possible vocalizations and rock clacking near Knob Fork,39.6723,-80.5621,2005-10-09,12862.0,Class B,dpn9wy07zh
680,2,located in the Monongahela National Forest above the Cranberry River and near the Cranberry Back country and Wilderness Area.,Webster County,West Virginia,"Report 23211: Possible camp stalking at Glade Run Pond, Monon. Nat. Forest",38.312,-80.429,1985-07-12,23211.0,Class B,dnyccy3rs6
681,3,Top of hill in clearing at base of pine thicket,Wayne County,West Virginia,Report 38547: Medical doctor recalls his daylight sighting as a teenager near Huntington,38.35806,-82.43855,1961-06-15,38547.0,Class A,dnv6hnf5fs
682,4,Off of Brushy Fork near Buckhannon,Upshur County,West Virginia,Report 27363: Witness describes getting a good look at a bi-pedal creature while driving on a country road in Buckhannon,38.98,-80.27,2009-09-11,27363.0,Class A,dnyvv2j4vq
683,5,,Tyler County,West Virginia,"Report 11828: Woman experiences rock throwing, vocalization during walk",39.61958,-81.14833,2004-06-05,11828.0,Class B,dpn33kt8fc
684,6,"To St George, Location Road to Hile run parking road.",Tucker County,West Virginia,,,,,24945.0,Class A,
685,7,route 3 from Hinton to Talcott.,Summers County,West Virginia,Report 12812: Early morning backyard sighting by newspaper deliverer near Talcott,37.6541,-80.7582,2001-09-05,12812.0,Class A,dnww4q9xj8
686,8,24 miles east of Parkersburg,Ritchie County,West Virginia,"Report 3655: Daylight sighting near rural church on Rt. 31, east of Parkersburg, near Cairo",39.21833,-81.16211,2001-11-12,3655.0,Class A,dnyr157x3f
687,9,Southern Randolph County,Randolph County,West Virginia,Report 12959: Sightings by two hunters in tree stands outside Elkwater,38.6685,-80.03149,1989-11-24,12959.0,Class A,dnz5fz6u74
688,10,"Approx. 2 miles east of the intersection on Ragland Road and State Route 41. Following a branch which empties in Piney Creek, which in turn empties into the New River.",Raleigh County,West Virginia,Report 4237: Three youths have a menacing encounter near Beckley,37.80531,-81.14714000000002,1975-07-04,4237.0,Class B,dnwr16nrys
689,11,"We live near Bruceton Mills in Preston County, WV",Preston County,West Virginia,Report 14280: Night sighting outside rural home near Bruceton Mills,39.6995,-79.5375,2005-10-05,14280.0,Class A,dpp3y54d3g
690,12,Know the name of the family that owned it.,Pocahontas County,West Virginia,Report 29124: Recollection of a daylight sighting while deer hunting near Greenbrier River.,38.1882,-80.1177,1969-11-24,29124.0,Class A,dnz10zun6k
691,13,,Pendleton County,West Virginia,Report 25062: Cave explorers recall bizarre experiences while camping in the Seneca Creek Backcountry,38.788,-79.495,1994-11-05,25062.0,Class B,dnzkxj1s2p
692,14,Off of rt 2 in warwood.,Ohio County,West Virginia,Report 10006: A woman has late night sighting when a motion detecting light illuminates her back porch,40.1333,-80.68191999999998,2004-12-12,10006.0,Class A,dpnsk411rj
693,15,"Northeast of Linside, WV off US 219",Monroe County,West Virginia,Report 20863: Youngster Surprised by Tall Creature near Linside,37.50965,-80.64685,2007-08-12,20863.0,Class A,dnwtku6v81
694,16,"Northeast of Morgantown, WV",Monongalia County,West Virginia,Report 15475: Hunter describes being paralleled along railroad tracks northeast of Morgantown,39.6716,-79.9442,2003-05-10,15475.0,Class B,dpp1svfrv4
695,17,It was in front of a business selling storage buildings.,Mineral County,West Virginia,Report 21894: Large creature on all-fours seen crossing US-50 near Burlington,39.335,-78.94501,2003-11-27,21894.0,Class A,dnzzg89yzz
696,18,"I have a mapquest image of the area and I labeled it with some approximate points from the incident.  I will gladly send this to you. From Rt. 220 in Keyser, turn onto St. Cloud Street.  Head west for several blocks, until you come to E street.  Turn Left onto E, and continue on Parkview (E becomes Parkview) and pass the playground on the left.  Continue past Potomac State Farm (Left) and St. Thomas Cemetary (on Right) and continue for approximately 2 miles up Green Mtn.  At the top, there is a sweeping left turn.  The slightly curvy section after this turn is the area where this incident occured.  It is between a public access to a hunting area and a residence.  They do NOT appear on the mapquest image as it is old.",Mineral County,West Virginia,Report 23437: Night time sighting by motorist outside the town of Keyser,39.26188,-79.01405,2004-11-25,23437.0,Class A,dnzz3grtp0
697,19,"Just off Rt. 28 in Mineral County, WV.  Up against the woods.",Mineral County,West Virginia,,,,,46665.0,Class B,
698,20,Near the Nicholas Webster county line. About 1.5 miles down railroad tacks,Nicholas County,West Virginia,Report 1774: 3 Friends watch 7' tall 2 legged hairy brown animal on the other side of the river,38.32548,-80.60419,1987-07-15,1774.0,Class A,dnydjbcy45
699,21,"Near Richwood, WV, in the Cranberry Back Country located inside Monongahela National Forest. The nearest road is the Highland Scenic Highway.",Nicholas County,West Virginia,Report 1204: Two hunters hear strange sounds similar to a woman screaming,38.27832,-80.51534000000002,1997-12-01,1204.0,Class B,dny9zb6e2s
700,22,"Shortly after leaving Richwood (heading in the direction of Cranberry Glades) take the left turn up Hinkle Mountain (signs along the main road note the Cranberry River and Monongahela National Forest). At the top of the mountain, turn left onto the forest road that takes you into the national forest. Go over the Cranberry River Bridge and take the next left. (There is a small campground and outhouse at the turn.) Go up the mountain and take your first left turn (a dirt road). That is the road until you come to the pave road. I saw it about two miles before you get to the paved road.",Nicholas County,West Virginia,Report 20068: Bigfoot spotted by driver in Cranberry River region of Monongahela National Forest.,38.33109,-80.51374,2007-06-30,20068.0,Class A,dnydpcgwvc
701,23,"It happened on Curtain Mountain, along the Cherry River in Nicholas County, WV.",Nicholas County,West Virginia,Report 51471: Squirrel hunter observed in the early morning by a tree peeker on Curtain Mountain,38.2845,-80.6385,2015-11-21,51471.0,Class A,dny9v12z6u
702,24,"The location is directly behind my house: xx xxxx xxxx Summersville,WV. 26651 My telephone # is xxx-xxx-xxxx. We have bear in this area a lot...this wasn't a bear.",Nicholas County,West Virginia,,,,,50469.0,Class A,
703,25,go up Spruce Knob road,Pendleton County,West Virginia,Report 13122: Possible repeat approaches outside Circleville,38.7016,-79.52835,1996-10-11,13122.0,Class B,dnzknm3jpj
