index,observed,location_details,county,state,title,latitude,longitude,date,number,classification,geohash
46,0,The storage building was on Eagle Road near the Newpage Mill in the Village of Biron,Wood County,Wisconsin,Report 34240: Passenger sees a large figure moving between buildings in Biron,44.42315,-89.7793,2012-02-18,34240.0,Class B,dpbhtnbxwe
47,1,,Wood County,Wisconsin,Report 38662: Hikers make a vocalization and hear possible return vocalizations outside Biron,44.4308,-89.7715,2012-12-19,38662.0,Class B,dpbhv0qkhm
419,2,"North of Highway 51 within the southern portion of the Northern Highlands State Forest. West of Mishonagan Creek, east of Lac Du Flambeau. Very remote, nothing but logging roads in this area.",Vilas County,Wisconsin,Report 10609: Hiker finds large footprints in Northern Highlands State Forest.,45.9555,-89.7384,1991-07-20,10609.0,Class B,f00jmvyqpw
420,3,"Take Hwy.53 north out of Whittehall, to county road D north about 2 miles turn left toward the rod & gun club. go past the rod & gun. It happened on the road just before you turn the corner.",Trempealeau County,Wisconsin,Report 16870: Daylight sighting by motorist of a juvenile north of Whitehall,44.4049,-91.3171,2006-12-06,16870.0,Class A,9zzhd58vm3
421,4,,Vilas County,Wisconsin,"Report 9717: Man hears footsteps, inexplicable noise in Vilas County",46.0484,-89.66195,2001-10-15,9717.0,Class B,f00jzwy5m5
422,5,"Sound came from the Northwest from the end of our road where our cabin is located.  Very wooded, dense forest, a lot of deer walk through our back yard and bed down just past the the dead end road.",Vilas County,Wisconsin,,,,,34344.0,Class B,
423,6,,Vilas County,Wisconsin,Report 41514: Friends enjoying a late night together are startled by a eerie howl near Eagle River,45.941,-89.21035,2013-06-26,41514.0,Class B,f00t3gr18p
424,7,North side of Black Oak Lake off of West Black Oak Lake Rd.,Vilas County,Wisconsin,Report 43295: Family discovers possible snow tracks in their yard near Land O' Lakes,46.1675,-89.3381,2013-12-15,43295.0,Class B,f00qxh9cpm
425,8,,Washington County,Wisconsin,Report 16564: Deer carcass nabbed from pickup truck in Erin (Hwy 167 at Station Way),43.25100000000001,-88.3245,2006-11-09,16564.0,Class B,dp9nn1s53f
426,9,On the trail by the St Augustine parking area. Sounds came from the area of Loew Lake which is off limits to hunting. Check the WDNR map of Loew Lake to see where this area is.,Washington County,Wisconsin,Report 59229: Knocks returned in the afternoon while hiking at Loew Lake,43.21667,-88.31644,2018-03-25,59229.0,Class B,dp9jy73gmg
427,10,My Grandmother does not own the house anymore. Don't want to cause a disturbance with the guy who purchased house.,Waukesha County,Wisconsin,"Report 9295: Possible sighting by child, and other incidents near Menomonee Falls",43.1575,-88.1255,1997-08-15,9295.0,Class B,dp9md8sfxj
428,11,We went to the location a couple of days later to look for evidence but none was really found we had alot of rain in the following days to the incident.,Waukesha County,Wisconsin,Report 28008: Possible nighttime sighting while driving next to Kettle Moraine State Forest,42.97569,-88.44846,2010-07-05,28008.0,Class B,dp9h7r3z99
611,12,"County road K going out of New Richmond takes you to 170th Street (where my parents live). There is a river, a small pond/marsh, RR tracks, nearby. This is about 3/4 of a mile off K on 170th.",St. Croix County,Wisconsin,Report 8502: New driver frightened into screaming as he passes huge creature walking along road,45.1097,-92.4573,2004-06-16,8502.0,Class A,cbn285fxhc
612,13,"The area in Shawano referred to as the""Mooseyard"". >From Lake Dr., any road that accesses the Area for Recreation and local residents know as the ""Mooseyard"".  There are dirt and gravel roads that run through there and this particular road is off of Woods Rd.",Shawano County,Wisconsin,Report 135: Two couples shine owl and observe large hairy primate,44.8491,-88.51969,1981-08-15,135.0,Class A,dpcp1stbvw
613,14,"BEING YEARS PAST, I AM UNSURE OF THE AREA CHANGES. THE PROPERTY WAS ON THE LAKE. IT WAS ON FARBER DR/RD. I BELIEVE FARBER MIGHT BE SPELLED DIFFERENTLY",Sawyer County,Wisconsin,Report 23691: Man recalls encounter at a cabin on Nelson Lake,46.10445,-91.49319,2008-04-28,23691.0,Class A,cbnyq109yh
614,15,"western portion of Price County. Lugerville is located on Hwy F which is accessible from either Hwy's 13 or 70. The hunting cabin is on a fire lane off of Hwy F, northwest of Lugervile. This area borders Chequamegon National Forest and the cabin is within walking distance of the Flambeau river. The topography is a mixture of ridges, ravines, swamp, fields and mature forests.",Price County,Wisconsin,Report 2863: Hunter observes dark figure with swinging arms making long strides,45.78177,-90.51659,1997-11-29,2863.0,Class A,cbpsknrf4s
615,16,South Campground of Interstate State Park,Polk County,Wisconsin,Report 45418: Campers hear possible vocalization and have trailer shaken at Interstate State Park,45.38867,-92.66538,2014-06-13,45418.0,Class B,cbn45qg0hj
616,17,,Ozaukee County,Wisconsin,,,,,23961.0,Class A,
617,18,,Milwaukee County,Wisconsin,Report 39314: Teenagers unnerved by possible knocking in Oak Creek,42.86631,-87.84023,1976-07-15,39314.0,Class B,dp9ec5sdq7
618,19,The Northeast area of Menominee County.,Menominee County,Wisconsin,"Report 25082: Retired police officer recalls he and a friend being intimidated from continuing their hike, near Bonita",45.02176,-88.5233,1968-08-15,25082.0,Class B,f0101egqc8
619,20,"County Rd. J Princeton, WI.",Marquette County,Wisconsin,Report 27429: Motorist observes possible road crossing near Princeton,43.8708,-89.18135,2010-03-10,27429.0,Class B,dpb9ddkjgv
620,21,,Marinette County,Wisconsin,Report 27630: Man recalls observing creature in a field near Marinette,45.02046,-87.73608,1979-08-01,27630.0,Class A,f0185e8x1n
